Position	Pilot	Glider	Speed	Distance
1	Mario Kiessling	Ventus 2ax	160.6km/h	319.7km
2	Carlos Rocca Vidal	Ventus 2b	153.4km/h	319.7km
3	Sebastian Kawa	Diana 2	153.2km/h	319.7km
4	Stanislaw Wujczak	ASG 29	152.5km/h	319.7km
5	Thomas Gostner	Diana 2	147.9km/h	319.7km
6	Uli Schwenk	Ventus 2ax	147.6km/h	319.7km
7	Petr Krejcirik	Ventus 2ax	147.3km/h	319.7km
8	Patrick Puskeiler	Discus 2ax	147.0km/h	319.7km
9	Eduard Supersperger	Ventus 2b	146.1km/h	319.7km
10	Tilo Holighaus	Ventus 2ax	144.2km/h	319.7km
10	Heimo Demmerer	Ventus 2b	143.6km/h	319.7km
10	Wolfgang Janowitsch	Ventus 2cax	143.5km/h	319.7km
10	Rene Vidal	Ventus 2c	142.7km/h	319.7km
10	Olli Teronen	ASG 29	142.1km/h	319.7km
10	Graham Parker	ASG 29	141.2km/h	319.7km
