name	type	elevation	USGS Map	GNIS ID
Clear Lake (Douglas County, Oregon)	Lake	feet (m)	Winchester Bay	1139800
Clear Lake (Wasco County, Oregon)	Reservoir	feet (m)	Wapinitia Pass	1139803
Clear Lake (Amazon Creek, Oregon)	Lake	feet (m)	Eugene West	1119000
Clear Lake (Marion County, Oregon)	Lake	feet (m)	Mission Bottom	1119001
Clear Lake (Tillamook County, Oregon)	Lake	feet (m)	Garibaldi	1119002
Clear Lake (Clatsop County, Oregon)	Lake	feet (m)	Warrenton	1119003
Clear Lake, Oregon	Populated Place	feet (m)	Mission Bottom	1119004
Clear Lake (Florence, Lane County, Oregon)	Lake	feet (m)	Mercer Lake	1139801
Clear Lake (Clackamas County, Oregon)	Lake	feet (m)	Elwood	1139802
Clear Lake (Wallowa County, Oregon)	Lake	feet (m)	Clear Lake Ridge	1139804
Clear Lake (Linn County, Oregon)	Lake	feet (m)	Clear Lake	1139805
Clear Lake (Coos County, Oregon)	Lake	feet (m)	Lakeside	1154640
Malabon, Oregon	Historic locale	feet (m)	Eugene West	1166549
