Player	Round	Pick	Position	NFL Club
John Brockington	1	9	Running Back	Green Bay Packers
Jack Tatum	1	19	Defensive Back	Oakland Raiders
William Anderson	1	23	Defensive Back	San Francisco 49ers
Leo Hayden	1	24	Running Back	Minnesota Vikings
Jan White	2	29	Tight End	Buffalo Bills
Jim Stillwagon	5	124	Linebacker	Green Bay Packers
Doug Adams	7	165	Linebacker	Denver Broncos
Mike Sensibaugh	8	191	Defensive Back	Kansas City Chiefs
Larry Zelina	8	196	Running Back	Cleveland Browns
Bruce Jankowski	10	250	Wide Receiver	Kansas City Chiefs
Rex Kern	10	260	Defensive Back	Baltimore Colts
Ron Maciejowski	15	376	Quarterback	Chicago Bears
Mark Debevc	16	405	Linebacker	Cincinnati Bengals
