Year	District	Blocks	Panchayat	Village	Human (in Lakh )	Animal (in Lakh )	Total Area (in Lakh ha )	Cropped area (in Lakh ha )	Crop Damaged (in Lakh INR )	House Affected	Public Property Damaged (in Lakh INR )
2006	14	63	375	959	10.89	0.1	1.81	0.87	706.63	18637	8,456.17
2005	12	81	562	1464	21.04	5.35	4.6	1.35	1,164.50	5538	305
2004	20	211	2788	9346	212.99	86.86	27	13.99	52,205.64	929773	1,03,049.60
2003	24	172	1496	5077	76.02	11.96	15.08	6.1	6,266.13	45262	1,035.16
2002	25	6	2504	8318	160.18	52.51	19.69	9.4	51,149.61	419014	40,892.19
2001	22	194	1992	6405	90.91	11.7	11.95	6.5	26,721.79	222074	18,353.78
2000	33	213	2327	12351	90.18	8.09	8.05	4.43	8,303.70	343091	3,780.66
1999	24	150	1604	5057	65.66	13.58	8.45	3.04	24,203.88	91813	5,409.99
1998	28	260	2739	8347	134.7	30.93	25.12	12.84	36,696.68	199611	9,284.04
1997	26	169	1902	7043	69.65	10.11	14.71	6.55	5,737.66	174379	2,038.09
1996	29	195	2049	6417	67.33	6.6	11.89	7.34	7,169.29	116194	1,035.70
1995	26	177	1901	8233	66.29	8.15	9.26	4.24	19,514.32	297765	2,183.57
1994	21	112	1045	2755	40.12	15.03	6.32	3.5	5,616.33	33876	151.66
1993	18	124	1263	3422	53.52	6.68	15.64	11.35	13,950.17	219826	3,040.86
1992	8	19	170	414	5.56	0.75	0.76	0.25	58.09	1281	0.75
1991	24	137	1336	4096	48.23	5.13	9.8	4.05	2,361.03	27324	139.93
1990	24	162	1259	4178	39.57	2.7	8.73	3.21	1,818.88	11009	182.27
1989	16	74	652	1821	18.79	0.35	4.71	1.65	704.88	7746	83.7
1988	23	181	1616	5687	62.34	0.21	10.52	3.95	4,986.32	14759	150.64
1987	30	382	6112	24518	286.62	33.25	47.5	25.7	67,881.00	1704999	680.86
1986	23	189	1828	6509	75.8	XXXX	19.18	7.97	10,513.51	136774	3,201.99
1985	20	162	1245	5315	53.09	XXXX	7.94	4.38	3,129.52	103279	204.64
1984	23	239	3209	11154	135	XXXX	30.5	15.87	18,543.85	310405	2,717.72
1983	22	138	1224	4060	42.41	XXXX	18.13	5.78	2,629.25	38679	258.14
1982	15	110	1112	3708	46.81	45.14	9.32	3.23	9,700.00	68242	955.33
1981	21	201	2138	7367	69.47	74.83	12.61	7.71	7,213.19	75776	XXXX
1980	21	193	1869	7010	74.45	XXXX	17.86	9.43	7,608.43	118507	XXXX
