Rural municipality (RM)	RM No.	SARM Div. No.	Census Div. No.	Population (2011)	Population (2006)	Change (%)	Land area (km²)	Population density (per km²)
Aberdeen No. 373	373	5	15	1016	765	32.8	673.42	1.5
Abernethy No. 186	186	1	6	387	375	3.2	779.42	0.5
Antelope Park No. 322	322	6	13	150	151	-0.7	612.66	0.2
Antler No. 61	61	1	1	536	506	5.9	832.09	0.6
Arborfield No. 456	456	4	14	453	429	5.6	1416.01	0.3
Argyle No. 1	1	1	1	270	267	1.1	579.99	0.5
Arlington No. 79	79	3	4	345	413	-16.5	846.79	0.4
Arm River No. 252	252	5	11	249	240	3.8	725.26	0.3
Auvergne No. 76	76	3	3	354	374	-5.3	854.46	0.4
Baildon No. 131	131	2	7	594	548	8.4	846.21	0.7
Barrier Valley No. 397	397	4	14	498	576	-13.5	819.99	0.6
Battle River No. 438	438	6	12	1099	1053	4.4	1061.4	1
Bayne No. 371	371	5	15	493	505	-2.4	802.93	0.6
Beaver River No. 622	622	6	17	1017	1108	-8.2	2370.25	0.4
Bengough No. 40	40	2	2	329	337	-2.4	1036.91	0.3
Benson No. 35	35	1	1	490	434	12.9	836.39	0.6
Big Arm No. 251	251	5	11	200	237	-15.6	699.47	0.3
Big Quill No. 308	308	4	10	587	635	-7.6	739.86	0.8
Big River No. 555	555	5	16	855	851	0.5	2487.82	0.3
Big Stick No. 141	141	3	8	148	182	-18.7	821.4	0.2
Biggar No. 347	347	6	12	820	882	-7	1598.56	0.5
Birch Hills No. 460	460	5	15	663	701	-5.4	554.07	1.2
Bjorkdale No. 426	426	4	14	900	997	-9.7	1460.5	0.6
Blaine Lake No. 434	434	5	16	288	302	-4.6	799.69	0.4
Blucher No. 343	343	5	11	1787	1588	12.5	789.01	2.3
Bone Creek No. 108	108	3	4	340	321	5.9	847.16	0.4
Bratt's Lake No. 129	129	2	6	350	362	-3.3	844.95	0.4
Britannia No. 502	502	6	17	1734	1501	15.5	950.87	1.8
Brock No. 64	64	1	1	238	274	-13.1	797.13	0.3
Brokenshell No. 68	68	2	2	308	324	-4.9	850.01	0.4
Browning No. 34	34	1	1	399	426	-6.3	823.39	0.5
Buchanan No. 304	304	4	9	406	435	-6.7	738.8	0.5
Buckland No. 491	491	5	15	3658	3429	6.7	791.69	4.6
Buffalo No. 409	409	6	13	506	525	-3.6	1222.08	0.4
Calder No. 241	241	4	9	322	423	-23.9	807.15	0.4
Caledonia No. 99	99	2	2	257	286	-10.1	845.68	0.3
Cambria No. 6	6	1	2	304	268	13.4	814.14	0.4
Cana No. 214	214	1	5	858	850	0.9	820.91	1
Canaan No. 225	225	3	7	149	165	-9.7	549.09	0.3
Canwood No. 494	494	5	16	1424	1535	-7.2	1945.2	0.7
Carmichael No. 109	109	3	4	440	450	-2.2	846.4	0.5
Caron No. 162	162	2	7	516	500	3.2	569.87	0.9
Chaplin No. 164	164	2	7	147	138	6.5	802.74	0.2
Chester No. 125	125	1	5	373	386	-3.4	837.08	0.4
Chesterfield No. 261	261	3	8	480	485	-1	1943.5	0.2
Churchbridge No. 211	211	1	5	673	679	-0.9	958.98	0.7
Clayton No. 333	333	4	9	669	753	-11.2	1401.69	0.5
Clinworth No. 230	230	3	8	211	228	-7.5	1432.75	0.1
Coalfields No. 4	4	1	1	382	396	-3.5	819.52	0.5
Colonsay No. 342	342	5	11	240	275	-12.7	549.99	0.4
Connaught No. 457	457	4	14	629	656	-4.1	853.11	0.7
Corman Park No. 344	344	5	11	8354	8266	1.1	1934.2	4.3
Cote No. 271	271	4	9	580	551	5.3	880.23	0.7
Coteau No. 255	255	3	7	420	468	-10.3	899.27	0.5
Coulee No. 136	136	3	7	582	509	14.3	843.69	0.7
Craik No. 222	222	2	7	276	288	-4.2	885.41	0.3
Cupar No. 218	218	2	6	554	502	10.4	918.45	0.6
Cut Knife No. 439	439	6	13	359	410	-12.4	653	0.5
Cymri No. 36	36	1	2	524	455	15.2	832.36	0.6
Deer Forks No. 232	232	3	8	223	213	4.7	735.49	0.3
Douglas No. 436	436	6	16	331	383	-13.6	820.37	0.4
Duck Lake No. 463	463	5	15	867	781	11	1046.7	0.8
Dufferin No. 190	190	2	6	512	540	-5.2	961.44	0.5
Dundurn No. 314	314	5	11	1148	632	81.6	807.94	1.4
Eagle Creek No. 376	376	5	12	580	552	5.1	833.08	0.7
Edenwold No. 158	158	2	6	4167	3606	15.6	880.96	4.7
Elcapo No. 154	154	1	5	481	489	-1.6	846.54	0.6
Eldon No. 471	471	6	17	751	750	0.1	1007.59	0.7
Elfros No. 307	307	4	10	432	501	-13.8	697.34	0.6
Elmsthorpe No. 100	100	2	2	210	258	-18.6	843.12	0.2
Emerald No. 277	277	4	10	447	549	-18.6	854.44	0.5
Enfield No. 194	194	2	7	270	301	-10.3	1014.1	0.3
Enniskillen No. 3	3	1	1	452	430	5.1	834.75	0.5
Enterprise No. 142	142	3	8	140	160	-12.5	988.8	0.1
Estevan No. 5	5	1	1	1139	1051	8.4	773.38	1.5
Excel No. 71	71	2	3	427	466	-8.4	1122.02	0.4
Excelsior No. 166	166	3	7	959	825	16.2	1198.35	0.8
Eye Hill No. 382	382	6	13	614	650	-5.5	797.67	0.8
Eyebrow No. 193	193	2	7	230	245	-6.1	835.04	0.3
Fertile Belt No. 183	183	1	5	785	771	1.8	1006.68	0.8
Fertile Valley No. 285	285	5	12	511	609	-16.1	1016.37	0.5
Fillmore No. 96	96	1	2	255	256	-0.4	828.33	0.3
Fish Creek No. 402	402	5	15	304	307	-1	597.9	0.5
Flett's Springs No. 429	429	5	15	751	736	2	844.61	0.9
Foam Lake No. 276	276	4	10	587	593	-1	1345.98	0.4
Fox Valley No. 171	171	3	8	345	368	-6.3	1253.79	0.3
Francis No. 127	127	1	6	676	672	0.6	1106.8	0.6
Frenchman Butte No. 501	501	6	17	1438	1223	17.6	1927.74	0.7
Frontier No. 19	19	3	4	371	323	14.9	1675.02	0.2
Garden River No. 490	490	5	15	641	633	1.3	662.9	1
Garry No. 245	245	4	9	412	426	-3.3	853.59	0.5
Glen Bain No. 105	105	3	3	205	232	-11.6	843.4	0.2
Glen McPherson No. 46	46	3	3	73	112	-34.8	848.29	0.1
Glenside No. 377	377	6	12	267	367	-27.2	905.74	0.3
Golden West No. 95	95	1	1	315	322	-2.2	790.13	0.4
Good Lake No. 274	274	4	9	684	748	-8.6	809.94	0.8
Grandview No. 349	349	6	13	340	380	-10.5	714.71	0.5
Grant No. 372	372	5	15	425	406	4.7	666.16	0.6
Grass Lake No. 381	381	6	13	369	433	-14.8	801.29	0.5
Grassy Creek No. 78	78	3	4	284	305	-6.9	837.4	0.3
Gravelbourg No. 104	104	2	3	306	329	-7	842.08	0.4
Grayson No. 184	184	1	5	495	542	-8.7	874.77	0.6
Great Bend No. 405	405	6	16	499	458	9	830.58	0.6
Griffin No. 66	66	1	2	398	334	19.2	816.59	0.5
Gull Lake No. 139	139	3	8	201	221	-9	836.41	0.2
Happy Valley No. 10	10	2	2	148	174	-14.9	812.74	0.2
Happyland No. 231	231	3	8	284	297	-4.4	1259	0.2
Harris No. 316	316	5	12	224	195	14.9	805.42	0.3
Hart Butte No. 11	11	2	3	264	272	-2.9	841.98	0.3
Hazel Dell No. 335	335	4	9	511	611	-16.4	1394.02	0.4
Hazelwood No. 94	94	1	1	246	267	-7.9	743.81	0.3
Heart's Hill No. 352	352	6	13	260	285	-8.8	838.2	0.3
Hillsborough No. 132	132	2	7	114	122	-6.6	445.25	0.3
Hillsdale No. 440	440	6	13	563	530	6.2	1028.72	0.5
Hoodoo No. 401	401	5	15	706	804	-12.2	810.61	0.9
Hudson Bay No. 394	394	4	14	1122	1359	-17.4	12462.61	0.1
Humboldt No. 370	370	5	15	885	842	5.1	796.7	1.1
Huron No. 223	223	2	7	196	233	-15.9	842.11	0.2
Indian Head No. 156	156	1	6	380	356	6.7	759.98	0.5
Insinger No. 275	275	4	9	325	373	-12.9	849.38	0.4
Invergordon No. 430	430	5	15	651	615	5.9	854.19	0.8
Invermay No. 305	305	4	9	334	379	-11.9	729.44	0.5
Ituna Bon Accord No. 246	246	4	10	435	453	-4	837.23	0.5
Kellross No. 247	247	4	10	362	390	-7.2	834.09	0.4
Kelvington No. 366	366	4	14	499	514	-2.9	907.37	0.5
Key West No. 70	70	2	2	287	309	-7.1	825.26	0.3
Keys No. 303	303	4	9	417	397	5	661.61	0.6
Kindersley No. 290	290	6	13	987	1042	-5.3	2113.36	0.5
King George No. 256	256	3	7	217	234	-7.3	831.97	0.3
Kingsley No. 124	124	1	5	421	439	-4.1	844.61	0.5
Kinistino No. 459	459	5	15	531	713	-25.5	949.04	0.6
Lac Pelletier No. 107	107	3	4	607	524	15.8	849.27	0.7
Lacadena No. 228	228	3	8	572	613	-6.7	1896.01	0.3
Laird No. 404	404	5	15	1240	1136	9.2	729.98	1.7
Lajord No. 128	128	2	6	993	977	1.6	943.87	1.1
Lake Alma No. 8	8	2	2	250	240	4.2	822.47	0.3
Lake Johnston No. 102	102	2	3	160	161	-0.6	567.24	0.3
Lake Lenore No. 399	399	5	15	536	513	4.5	723.53	0.7
Lake of the Rivers No. 72	72	2	3	302	326	-7.4	677.51	0.4
Lakeland No. 521	521	5	15	884	1043	-15.2	494.06	1.8
Lakeside No. 338	338	4	10	387	444	-12.8	636.8	0.6
Lakeview No. 337	337	4	10	336	393	-14.5	724.89	0.5
Langenburg No. 181	181	1	5	572	558	2.5	675.66	0.8
Last Mountain Valley No. 250	250	5	11	267	362	-26.2	871.17	0.3
Laurier No. 38	38	2	2	321	312	2.9	840.56	0.4
Lawtonia No. 135	135	3	7	434	356	21.9	845.28	0.5
Leask No. 464	464	5	16	775	846	-8.4	1257.36	0.6
Leroy No. 339	339	5	10	490	544	-9.9	840.4	0.6
Lipton No. 217	217	1	6	424	427	-0.7	813.69	0.5
Livingston No. 331	331	4	9	311	355	-12.4	1338.64	0.2
Lomond No. 37	37	1	2	304	301	1	833.95	0.4
Lone Tree No. 18	18	3	4	145	150	-3.3	838	0.2
Longlaketon No. 219	219	2	6	962	899	7	1024.57	0.9
Loon Lake No. 561	561	6	17	725	815	-11	2805.11	0.3
Loreburn No. 254	254	5	11	346	350	-1.1	966.78	0.4
Lost River No. 313	313	5	11	209	188	11.2	549.92	0.4
Lumsden No. 189	189	2	6	1772	1612	9.9	817.12	2.1
Manitou Lake No. 442	442	6	13	547	590	-7.3	850.29	0.6
Mankota No. 45	45	3	3	322	382	-15.7	1696.22	0.2
Maple Bush No. 224	224	2	7	167	186	-10.2	811.95	0.2
Maple Creek No. 111	111	3	4	1154	1167	-1.1	3242.96	0.4
Mariposa No. 350	350	6	13	220	225	-2.2	636.73	0.3
Marquis No. 191	191	2	7	237	404	-41.3	805.48	0.3
Marriott No. 317	317	6	12	372	410	-9.3	843.29	0.4
Martin No. 122	122	1	5	333	339	-1.8	556.5	0.6
Maryfield No. 91	91	1	1	319	341	-6.5	759.63	0.4
Mayfield No. 406	406	6	16	389	394	-1.3	782.5	0.5
McCraney No. 282	282	5	11	307	346	-11.3	948.36	0.3
McKillop No. 220	220	2	6	575	566	1.6	668.44	0.9
McLeod No. 185	185	1	5	446	508	-12.2	886.6	0.5
Meadow Lake No. 588	588	6	17	2677	2627	1.9	6310.54	0.4
Medstead No. 497	497	6	16	513	524	-2.1	1203.22	0.4
Meeting Lake No. 466	466	6	16	376	429	-12.4	1066.74	0.4
Meota No. 468	468	6	17	936	984	-4.9	651.06	1.4
Mervin No. 499	499	6	17	1224	1331	-8	1594.6	0.8
Milden No. 286	286	5	12	283	215	31.6	735.29	0.4
Milton No. 292	292	6	13	312	310	0.6	657.42	0.5
Miry Creek No. 229	229	3	8	374	458	-18.3	1220.48	0.3
Monet No. 257	257	3	8	495	479	3.3	1591.75	0.3
Montmartre No. 126	126	1	6	488	503	-3	853.84	0.6
Montrose No. 315	315	5	12	712	648	9.9	898.38	0.8
Moose Creek No. 33	33	1	1	372	365	1.9	842.03	0.4
Moose Jaw No. 161	161	2	7	1147	1228	-6.6	793.73	1.4
Moose Mountain No. 63	63	1	1	480	487	-1.4	740.74	0.6
Moose Range No. 486	486	4	14	1131	1086	4.1	2419.1	0.5
Moosomin No. 121	121	1	5	504	513	-1.8	564.77	0.9
Morris No. 312	312	5	11	316	347	-8.9	847.16	0.4
Morse No. 165	165	3	7	401	435	-7.8	1244.38	0.3
Mount Hope No. 279	279	5	10	567	633	-10.4	1669.33	0.3
Mount Pleasant No. 2	2	1	1	383	418	-8.4	781.26	0.5
Mountain View No. 318	318	6	12	333	363	-8.3	840.03	0.4
Newcombe No. 260	260	3	8	400	361	10.8	1075.6	0.4
Nipawin No. 487	487	4	14	1030	1151	-10.5	886.04	1.2
North Battleford No. 437	437	6	16	733	737	-0.5	797.2	0.9
North Qu'Appelle No. 187	187	1	6	728	852	-14.6	494.98	1.5
Norton No. 69	69	2	2	259	248	4.4	844.8	0.3
Oakdale No. 320	320	6	13	258	290	-11	806.52	0.3
Old Post No. 43	43	2	3	395	394	0.3	1757	0.2
Orkney No. 244	244	4	9	1860	1748	6.4	816.31	2.3
Paddockwood No. 520	520	5	15	966	976	-1	2457.04	0.4
Parkdale No. 498	498	6	17	631	711	-11.3	1388.91	0.5
Paynton No. 470	470	6	17	268	254	5.5	593.95	0.5
Pense No. 160	160	2	6	471	490	-3.9	841.48	0.6
Perdue No. 346	346	5	12	463	432	7.2	826.14	0.6
Piapot No. 110	110	3	4	324	392	-17.3	1912.81	0.2
Pinto Creek No. 75	75	3	3	239	239	0	845.49	0.3
Pittville No. 169	169	3	8	204	216	-5.6	1258.06	0.2
Pleasant Valley No. 288	288	6	12	345	346	-0.3	830.53	0.4
Pleasantdale No. 398	398	4	14	611	607	0.7	757.91	0.8
Ponass Lake No. 367	367	4	14	527	618	-14.7	770.21	0.7
Poplar Valley No. 12	12	2	3	200	245	-18.4	769.37	0.3
Porcupine No. 395	395	4	14	820	949	-13.6	2339.96	0.4
Prairie Rose No. 309	309	5	10	259	292	-11.3	839.08	0.3
Prairiedale No. 321	321	6	13	253	271	-6.6	546.74	0.5
Preeceville No. 334	334	4	9	859	960	-10.5	1394.5	0.6
Prince Albert No. 461	461	5	15	3580	2929	22.2	1018.97	3.5
Progress No. 351	351	6	13	260	289	-10	803.09	0.3
Reciprocity No. 32	32	1	1	386	352	9.7	733.04	0.5
Redberry No. 435	435	5	16	372	451	-17.5	1015.53	0.4
Redburn No. 130	130	2	6	250	245	2	847.95	0.3
Reford No. 379	379	6	13	235	296	-20.6	707.06	0.3
Reno No. 51	51	3	4	399	462	-13.6	3460.66	0.1
Riverside No. 168	168	3	8	490	511	-4.1	1298.39	0.4
Rocanville No. 151	151	1	5	533	554	-3.8	758.64	0.7
Rodgers No. 133	133	2	7	101	115	-12.2	719.8	0.1
Rosedale No. 283	283	5	11	515	455	13.2	921.51	0.6
Rosemount No. 378	378	6	12	198	230	-13.9	571.35	0.3
Rosthern No. 403	403	5	15	2015	1840	9.5	954.31	2.1
Round Hill No. 467	467	6	16	319	374	-14.7	815.21	0.4
