Date	Visitor	Score	Home	Decision	Attendance	Record
March 1	Philadelphia	4 – 1	NY Islanders	Biron	15,136	33–25–7
March 2	Philadelphia	4 – 5	NY Rangers	Biron	18,200	33–25–8
March 4	Buffalo	5 – 2	Philadelphia	Biron	19,516	33–26–8
March 6	Tampa Bay	2 – 3	Philadelphia	Biron	19,217	34–26–8
March 8	NY Islanders	1 – 4	Philadelphia	Biron	19,748	35–26–8
March 11	Philadelphia	3 – 4	Toronto	Biron	19,507	35–26–9
March 12	Toronto	3 – 2	Philadelphia	Biron	19,642	35–27–9
March 15	Philadelphia	2 – 3	Boston	Biron	17,565	35–27–10
March 16	Philadelphia	1 – 7	Pittsburgh	Biron	17,132	35–28–10
March 18	Atlanta	2 – 3	Philadelphia	Niittymaki	19,564	36–28–10
March 21	NY Rangers	3 – 4	Philadelphia	Biron	19,819	37–28–10
March 23	NY Islanders	1 – 4	Philadelphia	Biron	19,136	38–28–10
March 25	Philadelphia	2 – 1	NY Rangers	Biron	18,200	39–28–10
March 28	Philadelphia	4 – 5	New Jersey	Biron	17,056	39–28–11
March 29	Philadelphia	4 – 3	NY Islanders	Niittymaki	15,223	40–28–11
