Rank	Heat	Country	Backstroke leg	Breaststroke leg	Butterfly leg	Freestyle leg
1	2	Soviet Union	Vladimir Shemetov 58.02	Aleksandr Fedorovski 2:01.93	Aleksei Markovski 2:57.10	Sergey Krasyuk 3:48.83
2	2	Australia	Glen Patching 58.56	Peter Evans 2:02.52	Mark Tonelli 2:58.55	Neil Brooks 3:48.94
3	2	Hungary	Sándor Wladár 57.51	Janos Dzvonyar 2:01.31	Zoltán Verrasztó 2:57.50	Gábor Mészáros 3:50.54
4	2	East Germany	Dietmar Göhring 58.43	Jörg Walter 2:04.06	Roger Pyttel 2:59.30	Frank Kühne 3:51.40
5	1	Great Britain	Paul Marshall 59.04	Duncan Goodhew 2:03.48	David Lowe 2:59.51	Mark Taylor 3:51.66
6	2	Netherlands	Fred Eefting 58.20	Albert Boonstra 2:03.48	Cees Vervoorn 2:58.80	Cees Jan Winkel 3:52.33
7	1	France	Frédéric Delcourt 59.38	Olivier Borios 2:05.16	Xavier Savin 3:01.01	René Ecuyer 3:52.87
8	2	Brazil	Romulo Arantes 58.27	Sérgio Pinto Ribeiro 2:04.30	Cláudio Kestener 3:01.33	Cyro Delgado 3:53.32
9	1	Spain	Moises Gonsalvez 1:01.20	Gustavo Torrijos 2:07.16	David López-Zubero 3:02.20	Ramon Lavin 3:54.79
10	1	Bulgaria	Branimir Popov 1:01.06	Plamen Donchev 2:08.18	Yulian Vasilev 3:06.21	Tsvetan Golomeev 3:58.35
11	1	Angola	Fernando Lopes 1:14.06	Francisco Santos 2:31.56	Marcos Daniel 3:35.91	Jorge Lima 4:35.11
—	1	Sweden	Michael Söderlund DSQ	Peter Berggren —	Per-Alvar Magnusson —	Per Holmertz —
—	2	Vietnam	Ngoc Thanh Pham 1:06.99	Manh Tuan Nguyen 2:17.74	Ngoc Ton Truong 3:20.18	Van Ve To DSQ
