Round	Overall	Player	Nationality	Club team
1	26	Martin Havlat	Czech Republic	Trinec Ocelari (Czech.)
2	48	Simon Lajeunesse	Canada	Moncton Wildcats (QMJHL)
2	62	Teemu Sainomaa	Finland	Jokerit ( Helsinki ) (Finland)
3	94	Chris Kelly	Canada	London Knights (OHL)
5	154	Andrew Ianiero	Canada	Kingston Frontenacs (OHL)
6	164	Martin Prusek	Czech Republic	HC Vitkovice Ostrava (Czech.)
7	201	Mikko Ruutu	Finland	HIFK ( Helsinki ) (Finland)
7	209	Layne Ulmer	Canada	Swift Current Broncos (WHL)
7	213	Alexandre Giroux	Canada	Hull Olympiques (QMJHL)
9	269	Konstantin Gorovikov	Russia	SKA Saint Petersburg (Russia)
