Week #	Theme	Song choice	Original artist	Order #	Result
Audition	N/A	" Livin' on a Prayer "	Bon Jovi	N/A	Advanced
Hollywood	N/A	" (Everything I Do) I Do It for You "	Bryan Adams	N/A	Advanced
Top 50	N/A	" I'll Be "	Edwin McCain	N/A	Advanced
Top 24 (12 Men)	1960s	" Happy Together "	The Turtles	3	Safe
Top 20 (10 Men)	1970s	" All Right Now "	Free	9	Safe
Top 16 (8 Men)	1980s	" Hello "	Lionel Richie	6	Safe
Top 12	Lennon–McCartney	" Eleanor Rigby "	The Beatles	6	Safe
Top 11	The Beatles	" Day Tripper "	The Beatles	6	Safe
Top 10	Year They Were Born	" Billie Jean "	Michael Jackson	10	Safe
Top 9	Dolly Parton	" Little Sparrow "	Dolly Parton	2	Safe
Top 8	Inspirational Songs	" Innocent "	Our Lady Peace	5	Safe
Top 7	Mariah Carey	" Always Be My Baby "	Mariah Carey	6	Safe
Top 6	Andrew Lloyd Webber	" The Music of the Night "	Michael Crawford	6	Safe
Top 5	Neil Diamond	" I'm Alive " " All I Really Need Is You "	Neil Diamond	2 7	Safe
