Team	Chassis	Engine	Tyre	Drivers	Races
Team Penske	Reynard 01i	Honda	F	Gil de Ferran	All
Team Penske	Reynard 01i	Honda	F	Hélio Castroneves	All
Chip Ganassi Racing	Lola B1/00	Toyota	F	Bruno Junqueira	All
Chip Ganassi Racing	Lola B1/00	Toyota	F	Nicolas Minassian	1-7
Chip Ganassi Racing	Lola B1/00	Toyota	F	Memo Gidley	8-21
Walker Motorsport	Reynard 01i	Toyota	F	Toranosuke Takagi	All
Newman-Haas Racing	Lola B1/00	Toyota	F	Cristiano da Matta	All
Newman-Haas Racing	Lola B1/00	Toyota	F	Christian Fittipaldi	All
Team Rahal	Lola B1/00	Ford Cosworth	F	Max Papis	All
Team Rahal	Lola B1/00	Ford Cosworth	F	Kenny Bräck	All
Bettenhausen Racing	Lola B1/00	Ford Cosworth	F	Michel Jourdain, Jr.	All
PacWest Racing	Reynard 01i	Toyota	F	Maurício Gugelmin	All
PacWest Racing	Reynard 01i	Toyota	F	Scott Dixon	All
Dale Coyne Racing	Lola B2K/00	Ford Cosworth	F	Michael Krumm	1-2
Dale Coyne Racing	Lola B2K/00	Ford Cosworth	F	Luiz Garcia, Jr.	1-2
Patrick Racing	Reynard 01i	Toyota	F	Townsend Bell	16-17
Patrick Racing	Reynard 01i	Toyota	F	Roberto Moreno	All
Patrick Racing	Reynard 01i	Toyota	F	Jimmy Vasser	All
Sigma Autosport	Lola B1/00	Ford Cosworth	F	Oriol Servià	All
Arciero-Blair Racing	Lola B2K/00	Phoenix	F	Max Wilson	1-19
Arciero-Blair Racing	Lola B2K/00	Phoenix	F	Alex Barron	20-21
Team Green	Reynard 01i	Honda	F	Paul Tracy	All
Team Green	Reynard 01i	Honda	F	Dario Franchitti	All
Forsythe Racing	Reynard 01i	Ford Cosworth	F	Patrick Carpentier	All
Forsythe Racing	Reynard 01i	Ford Cosworth	F	Alex Tagliani	All
Forsythe Racing	Reynard 01i	Ford Cosworth	F	Bryan Herta	All
Team Motorola	Reynard 01i	Honda	F	Michael Andretti	All
Fernández Racing	Reynard 01i	Honda	F	Adrián Fernández	All
Fernández Racing	Reynard 01i	Honda	F	Shinji Nakano	All
Mo Nunn Racing	Reynard 01i	Honda	F	Tony Kanaan	All
Mo Nunn Racing	Reynard 01i	Honda	F	Alex Zanardi	1-16
Mo Nunn Racing	Reynard 01i	Honda	F	Casey Mears	18-21
