Squad No.	Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
1	Nico Vaesen	GK	45	0	1	0	2	0	48	0
2	Steve Jenkins	DF	30	0	0	0	0	0	30	0
3	Jamie Vincent	DF	14 (2)	0	1	0	2	0	17 (2)	0
4	Craig Armstrong	MF	44	3	1	0	1	0	46	3
5	Chris Lucketti	DF	40	1	0	0	2	0	42	1
6	Ken Monkou	DF	2	0	0	0	0	0	2	0
7	Ben Thornley	MF	29 (7)	0	1	0	2	0	32 (7)	0
8	Kenny Irons	MF	18 (15)	0	0	0	1	0	19 (15)	0
9	Martin Smith	FW	27 (3)	8	0	0	1	0	28 (3)	8
10	Dean Gorré	MF	23 (11)	2	0 (1)	0	1	0	24 (12)	2
11	Clyde Wijnhard	FW	4	0	0	0	1	0	5	0
12	Kevin Gray	DF	13 (4)	0	1	0	0	0	14 (4)	0
13	Martyn Margetson	GK	1 (1)	0	0	0	0	0	1 (1)	0
14	Jim Brennan	MF	0 (2)	0	0	0	0	0	0 (2)	0
14	Scott Sellars	MF	6 (8)	0	0 (1)	0	0 (1)	0	6 (10)	0
15	Kevin Kyle	FW	0 (4)	0	0	0	0	0	0 (4)	0
15	Lee Morris	FW	5	1	0	0	0	0	5	1
16	Delroy Facey	FW	22 (12)	10	1	0	1 (1)	0	24 (13)	10
17	Simon Baldry	MF	26 (9)	2	1	0	0 (2)	0	27 (11)	2
18	Chris Hay	FW	0 (4)	0	0	0	2	0	2 (4)	0
19	David Beresford	MF	0 (2)	0	0	0	1	0	1 (2)	0
20	Thomas Heary	DF	25 (3)	0	1	0	2	0	28 (3)	0
21	Jon Dyson	DF	25 (5)	3	1	0	1	0	27 (5)	3
22	Chris Beech	MF	10	0	0	0	1	0	11	0
23	Chris Holland	MF	29	0	1	0	1	0	31	0
24	Danny Schofield	MF	0 (1)	0	0	0	0	0	0 (1)	0
25	Kevin Gallen	FW	30 (8)	10	1	0	0	0	31 (8)	10
26	Robert Kozluk	DF	14	0	0	0	0	0	14	0
26	Adie Moses	DF	10 (2)	0	0	0	0	0	10 (2)	0
32	Andy Booth	FW	8	3	0	0	0	0	8	3
34	Michael Senior	MF	0 (4)	0	0	0	0	0	0 (4)	0
35	Peter Ndlovu	MF	6	4	0	0	0	0	6	4
