Player	Nationality	Jersey Number(s)	Position	Years	From
Mickaël Gelabale Category:Articles with hCards	France	15	SF	2006 – 2008	Real Madrid
Dick Gibbs Category:Articles with hCards	United States	21	SF / SG	1973–1974	UTEP
Eddie Gill Category:Articles with hCards	United States	6	PG	2008	Weber State
Kendall Gill Category:Articles with hCards	United States	13	SG / SF	1993 – 1995	Illinois
Herm Gilliam Category:Articles with hCards	United States	3	G / SF	1975–1976	Purdue
Greg Graham Category:Articles with hCards	United States	21	SG	1996–1997	Indiana
Horace Grant Category:Articles with hCards	United States	54	PF / C	1999–2000	Clemson
Leonard Gray Category:Articles with hCards	United States	11	PF	1974 – 1976	Cal State-Long Beach
Jeff Green Category:Articles with hCards	United States	22	SF / PF	2007–2008	Georgetown
Mike Green Category:Articles with hCards	United States	23	C / PF	1976 – 1977	Louisiana Tech
John Greig Category:Articles with hCards	United States	22	F	1982–1983	Oregon
Adrian Griffin Category:Articles with hCards	United States	22	G / SF	2008	Seton Hall
