Location	Year	Champions	Runners-up	Score
Stuttgart	2001	Max Mirnyi Sandon Stolle	Ellis Ferreira Jeff Tarango	7–6 (7–0) , 7–6 (7–4)
Stuttgart	2000	Jiří Novák David Rikl	Donald Johnson Piet Norval	3–6, 6–3, 6–4
Stuttgart	1999	Byron Black Jonas Björkman	David Adams John-Laffnie de Jager	6–7 (6–8) , 7–6 (7–2) , 6–0
Stuttgart	1998	Sébastien Lareau Alex O'Brien	Mahesh Bhupathi Leander Paes	6–3, 3–6, 7–5
Stuttgart	1997	Mark Woodforde Todd Woodbridge	Rick Leach Jonathan Stark	6–3, 6–3
Stuttgart	1996	Sébastien Lareau Alex O'Brien	Jacco Eltingh Paul Haarhuis	3–6, 6–4, 6–3
Essen	1995 (Oct)	Jacco Eltingh Paul Haarhuis	Cyril Suk Daniel Vacek	6–2, 6–2
Stuttgart	1995 (Feb)	Grant Connell Patrick Galbraith	Cyril Suk Daniel Vacek	7–5, 6–4
Stuttgart	1994	David Adams Andrei Olhovskiy	Grant Connell Patrick Galbraith	6–7, 6–4, 7–6
Stuttgart	1993	Mark Kratzmann Wally Masur	Steve DeVries David Macpherson	6–3, 7–6
Stuttgart	1992	Tom Nijssen Cyril Suk	John Fitzgerald Anders Järryd	6–3, 6–7, 6–3
Stuttgart	1991	Sergio Casal Emilio Sánchez	Jeremy Bates Nick Brown	6–3, 7–5
Stuttgart	1990	Guy Forget Jakob Hlasek	Michael Mortensen Tom Nijssen	6–3, 6–2
