Week	Date	Opponent	Result	Game site	Attendance
1	1964-09-12	Denver Broncos	W 30–6	Shea Stadium	44,497
2	Bye	Bye	Bye	Bye	Bye
3	1964-09-27	at Boston Patriots	L 26–10	Fenway Park	22,716
4	1964-10-03	San Diego Chargers	T 17–17	Shea Stadium	50,222
5	1964-10-10	Oakland Raiders	W 35–13	Shea Stadium	36,499
6	1964-10-17	Houston Oilers	W 24–21	Shea Stadium	35,816
7	1964-10-24	at Buffalo Bills	L 34–24	War Memorial Stadium	39,621
8	1964-10-31	Boston Patriots	W 35–14	Shea Stadium	45,033
9	1964-11-08	Buffalo Bills	L 20–7	Shea Stadium	61,929
10	1964-11-15	at Denver Broncos	L 20–16	Bears Stadium	11,309
11	1964-11-22	at Oakland Raiders	L 35–26	Frank Youell Field	15,589
12	1964-11-29	Kansas City Chiefs	W 27–14	Shea Stadium	46,597
13	1964-12-06	at San Diego Chargers	L 38–3	Balboa Stadium	25,753
14	1964-12-13	at Houston Oilers	L 33–17	Jeppesen Stadium	16,225
15	1964-12-20	at Kansas City Chiefs	L 24–7	Municipal Stadium	14,316
