Rank	Rider	Team	Speed	Time
1	Ryan Farquhar	500cc BIC Paton	107.576mph	1:24.44.19
2	Chris Palmer	500cc Matchless	106.863mph	1:24.44.19
3	Steve Linsdell	500cc BIC Paton	106.823mph	1:24.46.10
4	Mark Parrett	499cc G50 Matchless	103.670mph	1:27.20.81
5	Alan Brew	496cc G50 Seeley	103.41.95mph	1:27.41.95
6	Wattie Brown	500cc Petty Manx	102.703mph	1:28.10.12
7	John Goodall	496cc Matchless G50	102.188mph	1:28.36.78
8	Dave Madsen-Mygdal	499cc Honda	101.175mph	1:29.30.05
9	Steve Elliot	499cc Honda	100.711mph	1:29.54.74
10	Bob Price	500cc Seeley G50	99.938mph	1:30.36.52
