Senator	Party	District	Home Town	Took Office
Bill Ratliff	Republican	1	Mount Pleasant	1989
David Cain	Democratic	2	Dallas	1995
Drew Nixon	Republican	3	Carthage	1995
Michael Galloway	Republican	4	The Woodlands	1995
Jim Turner	Democratic	5	Crockett	1991
Mario Gallegos, Jr.	Democratic	6	Houston	1995
Don Henderson	Republican	7	Houston	1983
Florence Shapiro	Republican	8	Plano	1993
Jane Nelson	Republican	9	Flower Mound	1993
Chris Harris	Republican	10	Arlington	1991
Jerry E. Patterson	Republican	11	Pasadena	1993
Mike Moncrief	Democratic	12	Fort Worth	1991
Rodney Ellis	Democratic	13	Houston	1990
Gonzalo Barrientos	Democratic	14	Austin	1985
John Whitmire	Democratic	15	Houston	1983
John N. Leedom	Republican	16	Dallas	1981
J. E. "Buster" Brown	Republican	17	Lake Jackson	1981
Ken Armbrister	Democratic	18	Victoria	1987
Frank Madla	Democratic	19	San Antonio	1993
Carlos F. Truan	Democratic	20	Corpus Christi	1977
Judith Zaffirini	Democratic	21	Laredo	1987
David Sibley	Republican	22	Waco	1991
Royce West	Democratic	23	Dallas	1993
Bill Sims	Democratic	24	Paint Rock	1983
Jeff Wentworth	Republican	25	San Antonio	1993
Gregory Luna	Democratic	26	San Antonio	1993
Eddie Lucio, Jr.	Democratic	27	Brownsville	1991
John T. Montford	Democratic	28	Lubbock	1983
Peggy Rosson	Democratic	29	El Paso	1991
Tom Haywood	Republican	30	Wichita Falls	1995
Teel Bivins	Republican	31	Amarillo	1989
