Date	Country	Circuit	Sprint Winner	Feature Winner	Report
21 September 2008	Italy	Autodromo Internazionale di Mugello	CANCELLED	CANCELLED	Report
5 October 2008	Netherlands	Circuit Park Zandvoort	Malaysia	France	Report
9 November 2008	China	Chengdu International Circuit	Ireland	Portugal	Report
23 November 2008	Malaysia	Sepang International Circuit	Switzerland	Ireland	Report
25 January 2009	New Zealand	Taupo Motorsport Park	Ireland	Switzerland	Report
8 February 2009	Indonesia	Jakarta Street Circuit	CANCELLED	CANCELLED	Report
22 February 2009	South Africa	Kyalami	Netherlands	Switzerland	Report
12 April 2009	Portugal	Autódromo Internacional do Algarve	Netherlands	Switzerland	Report
3 May 2009	Great Britain	Brands Hatch	Ireland	Ireland	Report
24 May 2009	Mexico	Autódromo Hermanos Rodríguez	CANCELLED	CANCELLED	Report
