Date	Tournament	Winning score	Margin of victory	Runner(s)-up
3 Aug 2008	Ricoh Women's British Open	66-68-70-66=270	3 strokes	Yani Tseng
9 Nov 2008	Mizuno Classic ^	68-66-67=201	6 strokes	Mayu Hattori
23 Nov 2008	ADT Championship	69-75-71-70	1 stroke	Karrie Webb
8 Mar 2009	HSBC Women's Champions	72-73-66-66=277	2 strokes	Katherine Hull
28 Jun 2009	Wegmans LPGA	65-68-67-71=271	7 strokes	Yani Tseng Kristy McPherson
13 Sep 2009	P&G Beauty NW Arkansas Championship	70-70-64=207	Playoff	Angela Stanford Sun Young Yoo
25 Jul 2010	Evian Masters	70-69-68-67=274	1 stroke	Morgan Pressel Na Yeon Choi Alexis Thompson
7 Nov 2010	Mizuno Classic ^	65-66-67=198	2 strokes	Yani Tseng
10 Sep 2012	Kingsmill Championship	62-68-69-69=268	Playoff	Paula Creamer
16 Sep 2012	Ricoh Women's British Open	71-64-71-73=279	9 strokes	Inbee Park
17 Feb 2013	ISPS Handa Women's Australian Open †	65-67-70-72=274	2 strokes	Yani Tseng
