Rider	Manufacturer	Laps	Time/Retired	Grid
Hiroshi Aoyama	KTM	20	43:09.316	1
Héctor Barberá	Aprilia	20	+2.251	7
Jorge Lorenzo	Aprilia	20	+2.957	3
Mika Kallio	KTM	20	+2.965	2
Thomas Lüthi	Aprilia	20	+7.305	6
Julián Simón	Honda	20	+8.747	8
Roberto Locatelli	Gilera	20	+16.105	10
Marco Simoncelli	Gilera	20	+26.101	11
Yuki Takahashi	Honda	20	+28.032	12
Aleix Espargaró	Aprilia	20	+34.754	14
Andrea Dovizioso	Honda	20	+35.888	4
Karel Abrahám	Aprilia	20	+42.514	13
Shuhei Aoyama	Honda	20	+48.020	16
Alex Baldolini	Aprilia	20	+48.058	17
Dirk Heidolf	Aprilia	20	+49.190	19
Ratthapark Wilairot	Honda	20	+49.273	15
Eugene Laverty	Honda	20	+53.468	20
Taro Sekiguchi	Aprilia	20	+1:02.665	25
Jules Cluzel	Honda	20	+1:15.625	18
Fabrizio Lai	Aprilia	20	+1:17.024	21
Imre Tóth	Aprilia	20	+1:32.646	24
Federico Sandi	Aprilia	17	Retirement	23
Doni Tata Pradita	Yamaha	16	Retirement	26
Alex de Angelis	Aprilia	10	Accident	9
Efrén Vázquez	Aprilia	9	Accidentt	22
Álvaro Bautista	Aprilia	6	Retirement	5
