Res.	Record	Opponent	Type	Rd., Time	Date
Loss	173–19–6	Joey Archer	UD	10	1965-11-10
Win	173–18–6	Rudolph Bent	KO	3 (10), 2:20	1965-10-20
Win	172–18–6	Peter Schmidt	UD	10	1965-10-01
Win	171–18–6	Harvey McCullough	UD	10	1965-09-23
NC	170–18–6	Neil Morrison	NC	2 (10), 1:20	1965-09-15
Loss	170–18–6	Stan Harrington	UD	10	1965-08-10
Win	170–17–6	Harvey McCullough	UD	10	1965-07-27
Loss	169–17–6	Ferd Hernandez	SD	10	1965-07-12
Win	169–16–6	Harvey McCullough	UD	10	1965-06-24
Loss	168–16–6	Stan Harrington	UD	10	1965-06-01
Loss	168–15–6	Memo Ayon	SD	10	1965-05-24
Win	168–14–6	Rocky Randell	KO	3 (10)	1965-04-28
Win	167–14–6	Earl Bastings	KO	1 (10), 2:34	1965-04-03
Win	166–14–6	Jimmy Beecham	KO	2 (10), 1:48	1965-03-06
Draw	165–14–6	Fabio Bettini	PTS	10	1964-11-27
Win	165–14–5	Jean Beltritti	PTS	10	1964-11-14
Win	164–14–5	Jean Baptiste Rolland	PTS	10	1964-11-07
Win	163–14–5	Jackie Cailleau	PTS	10	1964-10-24
Win	162–14–5	Johnny Angel	TKO	6 (8)	1964-10-12
Win	161–14–5	Yoland Leveque	PTS	10	1964-09-28
Loss	160–14–5	Mick Leahy	PTS	10	1964-09-03
Draw	160–13–5	Art Hernandez	PTS	10	1964-07-27
Win	160-13-4	Clarence Riley	TKO	6 (10)	1964-07-08
Win	159-13-4	Gaylord Barnes	UD	10	1964-05-19
Win	158-13-4	Armand Vanucci	PTS	10	1963-12-09
Win	157-13-4	Andre Davier	PTS	10	1963-11-29
Win	156-13-4	Emiel Sarens	KO	8 (10)	1963-11-16
Draw	155-13-4	Fabio Bettini	PTS	10	1963-11-09
Win	155–13–3	Armand Vanucci	PTS	10	1963-10-14
Loss	154–13–3	Joey Giardello	UD	10	1963-06-24
Win	154–12–3	Maurice Rolbnet	KO	3 (10)	1963-05-05
Win	153–12–3	Billy Thornton	KO	3 (10)	1963-03-11
Win	152–12–3	Bernie Reynolds	KO	4 (10)	1963-02-25
Win	151–12–3	Ralph Dupas	SD	10	1963-01-30
Win	150–12–3	Georges Estatoff	TKO	6 (10)	1962-11-10
Win	149–12–3	Diego Infantes	TKO	2 (10), 1:15	1962-10-17
Loss	148–12–3	Terry Downes	PTS	10	1962-09-25
Loss	148–11–3	Phil Moyer	SD	10	1962-07-09
Win	148–10–3	Bobby Lee	KO	2 (10), 2:38	1962-04-27
Loss	147–10–3	Denny Moyer	UD	10	1962-02-17
Win	147–9–3	Wilf Greaves	KO	8 (10), 0:43	1961-12-08
Win	146–9–3	Al Hauser	TKO	6 (10), 1:59	1961-11-20
Win	145–9–3	Denny Moyer	UD	10	1961-10-21
Win	144–9–3	Wilf Greaves	SD	10	1961-09-25
Loss	143–9–3	Gene Fullmer	UD	15	1961-03-04
Draw	143–8–3	Gene Fullmer	PTS	15	1960-12-03
Loss	143-8-2	Paul Pender	SD	15	1960-06-10
Win	143–7–2	Tony Baldoni	KO	1 (10), 1:40	1960-04-02
