Year	Award	Category	Nominee	Result
2010	Tony Award	Best Original Score	Andrew Lippa	Nominated
2010	Tony Award	Best Performance by a Featured Actor in a Musical	Kevin Chamberlin	Nominated
2010	Drama Desk Award	Outstanding Musical	Outstanding Musical	Nominated
2010	Drama Desk Award	Outstanding Actor in a Musical	Nathan Lane	Nominated
2010	Drama Desk Award	Outstanding Featured Actor in a Musical	Kevin Chamberlin	Nominated
2010	Drama Desk Award	Outstanding Featured Actress in a Musical	Carolee Carmello	Nominated
2010	Drama Desk Award	Outstanding Music	Andrew Lippa	Nominated
2010	Drama Desk Award	Outstanding Lyrics	Andrew Lippa	Nominated
2010	Drama Desk Award	Outstanding Set Design	Phelim McDermott, Julian Crouch and Basil Twist	Won
2010	Drama Desk Award	Outstanding Lighting Design	Natasha Katz	Nominated
2010	Drama League Award	Distinguished Production of a Musical	Distinguished Production of a Musical	Nominated
2010	Drama League Award	Distinguished Achievement in Musical Theatre	Nathan Lane	Won
2010	Drama League Award	Distinguished Performance	Nathan Lane	Nominated
2010	Drama League Award	Distinguished Performance	Bebe Neuwirth	Won
2010	Outer Critics Circle Award	Outstanding Actor in a Musical	Nathan Lane	Nominated
2010	Outer Critics Circle Award	Outstanding Actress in a Musical	Bebe Neuwirth	Nominated
2010	Outer Critics Circle Award	Outstanding Featured Actor in a Musical	Kevin Chamberlin	Nominated
2010	Outer Critics Circle Award	Outstanding Featured Actress in a Musical	Carolee Carmello	Nominated
2010	Outer Critics Circle Award	Outstanding Set Design (Play or Musical)	Phelim McDermott and Julian Crouch	Won
