Pick	Player	Nationality	NBA Team	School/Club Team
28	Sherman Douglas (G)	USA	Miami Heat	Syracuse
29	Dyron Nix (F)	USA	Charlotte Hornets	Tennessee
30	Frank Kornet (F)	USA	Milwaukee Bucks	Vanderbilt
31	Jeff Martin (G)	USA	Los Angeles Clippers	Murray State
32	Stanley Brundy (F)	USA	New Jersey Nets	DePaul
33	Jay Edwards (G)	USA	Los Angeles Clippers	Indiana
34	Gary Leonard (C)	USA	Minnesota Timberwolves	Missouri
35	Pat Durham (F)	USA	Dallas Mavericks	Colorado State
36	Cliff Robinson + (PF/C)	USA	Portland Trail Blazers	Connecticut
37	Michael Ansley (F)	USA	Orlando Magic	Alabama
38	Doug West (G/F)	USA	Minnesota Timberwolves	Villanova
39	Ed Horton (PF/C)	USA	Washington Bullets	Iowa
40	Dino Rađa (PF)	Yugoslavia ( Croatia )	Boston Celtics	KK Split ( Yugoslavia , now Croatia )
41	Doug Roth (C)	USA	Washington Bullets	Tennessee
42	Michael Cutright (SG)	USA	Denver Nuggets	McNeese State
43	Chucky Brown (PF)	USA	Cleveland Cavaliers	North Carolina State
44	Reggie Cross (PF)	USA	Philadelphia 76ers	Hawaii
45	Scott Haffner (G)	USA	Miami Heat	Evansville
46	Ricky Blanton (F)	USA	Phoenix Suns	LSU
47	Reggie Turner (SF)	USA	Denver Nuggets	UAB
48	Junie Lewis (PG)	USA	Utah Jazz	Utah
49	Haywoode Workman (G)	USA	Atlanta Hawks	Oral Roberts
50	Brian Quinnett (F)	USA	New York Knicks	Washington State
51	Mike Morrison (G)	USA	Phoenix Suns	Loyola (MD)
52	Greg Grant (G)	USA	Phoenix Suns	Trenton State
53	Jeff Hodge (SG)	USA	Dallas Mavericks	South Alabama
54	Toney Mack (SG)	USA	Philadelphia 76ers	Georgia
