Year	Circuit	Winning drivers	Winning constructor	Regulations	Report
1930	Circuito de la Costanera Norte	Juan Malcom	Delage 2.0	Grand Prix	Report
1932	Circuito de la Costanera Norte	Domingo Bucci	Hudson	Grand Prix	Report
1936	Circuito de la Costanera Norte	Carlos Arzani	Alfa Romeo 2900 GP	Grand Prix	Report
1941	Circuito de la Costanera Norte	José Canziani	Alfa Romeo 8C-35 3.8 GP	Grand Prix	Report
1942	Circuito de la Costanera Norte	José Canziani	Alfa Romeo 8C-35	Grand Prix	Report
1947	Retiro	Luigi Villoresi	Maserati 4CL	Grand Prix	Report
1948	Palermo	Luigi Villoresi	Maserati 4CL	Grand Prix	Report
1949	Palermo	Alberto Ascari	Maserati 4CL	Grand Prix	Report
1949	Palermo	Óscar Alfredo Gálvez	Alfa Romeo 308	Formula Libre	Report
1949	Palermo	Alberto Ascari	Ferrari 166 FL	Formula Libre	Report
1950	Palermo	Luigi Villoresi	Ferrari 166 FL	Formula Libre	Report
1951	Circuito de la Costanera Norte	José Froilán González	Ferrari 166 FL	Formula Libre	Report
1951	Circuito de la Costanera Norte	John Fitch	Allard J2 - Cadillac	Formula Libre	Report
1952	Autódromo Juan y Óscar Gálvez	Juan Manuel Fangio	Ferrari 166 FL	Formula Libre	Report
1953	Autódromo Juan y Óscar Gálvez	Nino Farina	Ferrari 500	Formula Two	Report
1954	Autódromo Juan y Óscar Gálvez	Maurice Trintignant	Ferrari 625	Formula One	Report
1955	Autódromo Juan y Óscar Gálvez	Juan Manuel Fangio	Mercedes-Benz W196	Formula One	Report
1956	Parque Gral. San Martin (Mendoza)	Juan Manuel Fangio	Lancia Ferrari D-50	Formula One	Report
1957	Autódromo Juan y Óscar Gálvez	Juan Manuel Fangio	Maserati 250F	Formula One	Report
1958	Autódromo Juan y Óscar Gálvez	Juan Manuel Fangio	Maserati 250F	Formula One	Report
1960	Parque Sarmiento - Córdoba	Maurice Trintignant	Cooper T51 - Climax	Formula One	Report
1964	Autódromo Juan y Óscar Gálvez	Silvio Moser	Brabham BT6 - Ford / Holbay	Formula Junior	Report
1966	Autódromo Juan y Óscar Gálvez	Chris Irwin	Brabham BT16 - Ford / Cosworth	Formula 3	Report
1967	Autódromo Juan y Óscar Gálvez	Jean-Pierre Beltoise	Matra MS5 - Ford / Cosworth	Formula 3	Report
1968	Autódromo Juan y Óscar Gálvez	Ernesto Brambilla	Ferrari Dino 166 V6	Formula 2	Report
1968	Autódromo Juan y Óscar Gálvez	Piers Courage	Brabham BT23C - Cosworth FVA	Formula 2	Report
1978	Autódromo Juan y Óscar Gálvez	Ingo Hoffmann	March 782- BMW	Formula 2	Report
