Season	Overall Spectators	Per game	Best supported Club	Spectators /game	Top goal scorer	Goals
1994–95	427576	1397	Stuttgarter Kickers	2759	Jonathan Akpoborie ( SK )	37
1995–96	353617	1156	Stuttgarter Kickers	3181	Dragan Trkulja ( Ulm )	25
1996–97	779612	2548	1. FC Nuremberg	15328	Frank Türr ( GF )	25
1997–98	693500	2375	Kickers Offenbach	12906	Dieter Eckstein ( FCA )	21
1998–99	568494	1858	Kickers Offenbach	11500	Marijo Maric ( SSV )	23
1999–2000	365281	1194	SV Darmstadt 98	3667	Oliver Djappa ( SSV )	36
2000–01	932249	3047	Karlsruher SC	10050	Marko Barlecaj ( SCP )	18
2001–02	717193	2344	Kickers Offenbach	6911	Saber Ben Neticha ( SVW )	18
2002–03	803856	2350	Jahn Regensburg	5105	Francisco Copado ( SpVggU )	24
2003–04	670371	2191	1. FC Saarbrücken	6141	Zvjezdan Misimovic ( FCB ) José Guerrero ( FCB )	21
2004–05	711904	2326	Kickers Offenbach	6669	Patrick Helmes ( SFS )	21
2005–06	561058	1834	TuS Koblenz	4657	Maximilian Nicu ( SVW ) Christian Okpala ( FCA )	16
2006–07	685182	2239	Hessen Kassel	4383	Mirnes Mesic ( TSG ) Jonathan Jäger ( 1. FCS )	17
2007–08	775651	2535	Sportfreunde Siegen	6095	Thorsten Bauer ( KSV )	20
2008–09	424619	1388	Hessen Kassel	4282	Thorsten Bauer ( KSV )	32
2009–10	367834	1202	VfR Aalen	3258	Mijo Tunjic ( SK ) Abedin Krasniqi ( SG )	19
2010–11	304647	1269	Hessen Kassel	5520	Kai Herdling ( TSG )	19
