Name	Raw bandwidth (Mbit/s)	Transfer speed (MB/s)	Max. cable length (m)	Power provided	Devices per channel
eSATA	3000	300	2 with eSATA HBA (1 with passive adapter)	No	1 (15 with port multiplier )
eSATAp	3000	300	2 with eSATA HBA (1 with passive adapter)	5V/12V	1 (15 with port multiplier )
SATA revision 3.0	6000	600	1	No	1 (15 with port multiplier )
SATA revision 2.0	3000	300	1	No	1 (15 with port multiplier )
SATA revision 1.0	1500	150	1	No	1 per line
PATA (IDE) 133	1064	133.5	0.46 (18in)	5 V (44-pin for 2.5" drives no otherwise)	2
SAS 600	6000	600	10	No	1 (>65k with expanders)
SAS 300	3000	300	10	No	1 (>65k with expanders)
SAS 150	1500	150	10	No	1 (>65k with expanders)
IEEE 1394 (FireWire) 3200	3144	393	100 (more with special cables)	15W, 12–25V	63 (with hub)
IEEE 1394 (FireWire) 800	786	98.25	100	15W, 12–25V	63 (with hub)
IEEE 1394 (FireWire) 400	393	49.13	4.5	15W, 12–25V	63 (with hub)
USB 3.1	10000	1250	3	4.5W, 5V	127 (with hub)
USB 2.0	480	60	5	2.5W, 5V	127 (with hub)
USB 1.0	12	1.5	3	Yes	127 (with hub)
SCSI Ultra-640	5120	640	12	No	15 (plus the Host Bus Adapter/Host)
SCSI Ultra-320	2560	320	12	No	15 (plus the Host Bus Adapter/Host)
Fibre Channel over optic fibre	10520	1,000	2–50,000	No	126 (16,777,216 with switches)
Fibre Channel over copper cable	4000	400	12	No	126 (16,777,216 with switches)
InfiniBand Quad Rate	10000	1,000	5(copper) <10,000(fiber)	No	1 with point to point Many with switched fabric
Thunderbolt	10000	1,250	3 (copper)	10W	7
