Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Gaines, Reece Reece Gaines	4	6-6	Guard	2004-05	Louisville
Gambee, Dave Dave Gambee	20	6-6	Forward	1967-68	Oregon State
Garland, Winston Winston Garland	22	6-2	Guard	1992-93	Southwest Missouri State
Garrett, Calvin Calvin Garrett	00	6-7	Forward	1980-83	Austin Peay, Oral Roberts
Gibbs, Dick Dick Gibbs	40	6-5	Forward	1971-73	Texas-El Paso
Godfread, Dan Dan Godfread	35	6-9	Forward / Center	1991-92	Evansville
Graham, Stephen Stephen Graham	9	6-6	Guard / Forward	2005	Oklahoma State
Gray, Devin Devin Gray	9	6-6	Guard / Forward	1999-2000	Clemson
Green, Gerald Gerald Green	25	6-8	Guard / Forward	2008	Gulf Shores Academy (TX)
Green, Johnny Johnny Green	24	6-5	Forward	1967-68	Michigan State
Griffin, Adrian Adrian Griffin	7	6-5	Guard / Forward	2003-04	Seton Hall
Griffin, Eddie Eddie Griffin	33	6-10	Forward	2001-03	Seton Hall
Guokas, Matt Matt Guokas	11	6-6	Guard	1973-74	St. Joseph's
