Date	Opponent	Score	Loss	Record
May 2	@ Athletics	2–1	Underwood (0–3)	8–14
May 3	@ Athletics	11–3	Clancy (1–2)	8–15
May 5	@ Mariners	9–1	Jefferson (1–4)	8–16
May 6	@ Mariners	6–0	Lemanczyk (0–6)	8–17
May 7	@ Mariners	9–7	Willis (0–2)	8–18
May 8	Athletics	Postponed (rain) Rescheduled for July 21	Postponed (rain) Rescheduled for July 21	Postponed (rain) Rescheduled for July 21
May 9	Athletics	4–0	Broberg (4–1)	9–18
May 10	Athletics	3–1	Langford (0–2)	10–18
May 12	Mariners	8–3	Rawley (0–3)	11–18
May 13	Mariners	9–6	Lemanczyk (0–7)	11–19
May 14	Mariners	Postponed (rain) Rescheduled for July 24	Postponed (rain) Rescheduled for July 24	Postponed (rain) Rescheduled for July 24
May 15	Angels	10–6	Hartzell (0–3)	12–19
May 16	Angels	5–4	Aase (2–2)	13–19
May 17	@ Orioles	Postponed (rain) Rescheduled for July 5	Postponed (rain) Rescheduled for July 5	Postponed (rain) Rescheduled for July 5
May 18	@ Orioles	5–3	Clancy (2–3)	13–20
May 19	Yankees	11–3	Jefferson (2–5)	13–21
May 20	Yankees	10–8	Clay (0–2)	14–21
May 21	Yankees	2–1	Underwood (1–4)	14–22
May 21	Yankees	9–1	Garvin (2–2)	14–23
May 22	Red Sox	5–4	Clancy (2–4)	14–24
May 23	Red Sox	2–1 (12)	Campbell (2–4)	15–24
May 24	Red Sox	8–2	Lemanczyk (1–8)	15–25
May 25	Red Sox	9–5	Underwood (1–5)	15–26
May 26	@ Yankees	4–3	Garvin (2–3)	15–27
May 27	@ Yankees	4–1	Figueroa (5–2)	16–27
May 28	@ Yankees	5–3	Jefferson (3–6)	16–28
May 28	@ Yankees	6–5 (13)	Murphy (2–1)	16–29
May 29	@ Red Sox	5–4	Underwood (1–6)	16–30
May 30	@ Red Sox	4–0	Garvin (2–4)	16–31
May 31	@ Red Sox	6–2	Lee (7–2)	17–31
