Shooter	Event	Rank points	Score points	Total
Natalia Paderina ( RUS )	WCF 2007	Defending champion	Defending champion	Defending champion
Guo Wenjun ( CHN )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Nino Salukvadze ( GEO )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Sandra Kolly ( SUI )	WC Rio de Janeiro	15	9	24
Stephanie Tirode ( FRA )	WC Beijing	15	8	23
Mirosława Sagun-Lewandowska ( POL )	WC Munich	10	11	21
Lalita Yauhleuskaya ( AUS )	WC Milan	8	9	17
Sonia Franquet ( ESP )	WC Rio de Janeiro	10	7	17
Ren Jie ( CHN )	WC Beijing	8	8	16
Zsofia Csonka ( HUN )	WC Beijing	10	6	16
Tien Chia-chen ( TPE )	WC Milan	8	7	15
