Year	Competition	Date	Surface	Location	Score	Result
2000	Europe/Africa Zone Group III Group A	24 May	Clay	Tunis , Tunisia	2 – 1	Won
2000	Europe/Africa Zone Group III Group A	25 May	Clay	Tunis , Tunisia	3 – 0	Won
2000	Europe/Africa Zone Group III Group A	26 May	Clay	Tunis , Tunisia	1 – 0	Won
2000	Europe/Africa Zone Group III First round	27 May	Clay	Tunis , Tunisia	1 – 2	Lost
2000	Europe/Africa Zone Group III Final	28 May	Clay	Tunis , Tunisia	1 – 2	Lost
2001	Europe/Africa Zone Group III Group B	23 May	Clay	Port Louis , Mauritius	1 – 2	Lost
2001	Europe/Africa Zone Group III Group B	24 May	Clay	Port Louis , Mauritius	3 – 0	Won
2001	Europe/Africa Zone Group III First round	26 May	Clay	Port Louis , Mauritius	1 – 2	Lost
2001	Europe/Africa Zone Group III Final	27 May	Clay	Port Louis , Mauritius	2 – 1	Won
2002	Europe/Africa Zone Group III Group B	3 April	Clay	Antalya , Turkey	1 – 2	Lost
2002	Europe/Africa Zone Group III Group B	4 April	Clay	Antalya , Turkey	3 – 0	Won
2002	Europe/Africa Zone Group III Group B	5 April	Clay	Antalya , Turkey	2 – 1	Won
2002	Europe/Africa Zone Group III Promotion play-offs	6 April	Clay	Antalya , Turkey	1 – 2	Lost
2002	Europe/Africa Zone Group III Promotion play-offs	7 April	Clay	Antalya , Turkey	0 – 3	Lost
2003	Europe/Africa Zone Group III Group B	11 June	Clay	Jūrmala , Latvia	0 – 3	Lost
2003	Europe/Africa Zone Group III Group B	12 June	Clay	Jūrmala , Latvia	0 – 3	Lost
2003	Europe/Africa Zone Group III Group B	13 June	Clay	Jūrmala , Latvia	0 – 3	Lost
2003	Europe/Africa Zone Group III Relegation play-offs	14 June	Clay	Jūrmala , Latvia	0 – 3	Lost
2003	Europe/Africa Zone Group III Relegation play-offs	15 June	Clay	Jūrmala , Latvia	0 – 3	Relegated
2004	Europe/Africa Zone Group IV Group B	15 July	Clay	Chişinău , Moldova	3 – 0	Won
2004	Europe/Africa Zone Group IV Group B	16 July	Clay	Chişinău , Moldova	2 – 1	Won
2004	Europe/Africa Zone Group IV Group B	16 July	Clay	Chişinău , Moldova	3 – 0	Won
2004	Europe/Africa Zone Group IV Promotion play-offs	17 July	Clay	Chişinău , Moldova	3 – 0	Won
2004	Europe/Africa Zone Group IV Promotion play-offs	18 July	Clay	Chişinău , Moldova	3 – 0	Promoted
2005	Europe/Africa Zone Group III Group B	27 April	Clay	Cairo , Egypt	2 – 1	Won
2005	Europe/Africa Zone Group III Group B	28 April	Clay	Cairo , Egypt	0 – 3	Lost
2005	Europe/Africa Zone Group III Group B	29 April	Clay	Cairo , Egypt	2 – 1	Won
2005	Europe/Africa Zone Group III Promotion play-offs	30 April	Clay	Cairo , Egypt	0 – 3	Lost
2005	Europe/Africa Zone Group III Promotion play-offs	31 April	Clay	Cairo , Egypt	1 – 2	Lost
2006	Europe/Africa Zone Group III Group B	19 July	Clay	Banja Luka , Bosnia and Herzegovina	2 – 1	Won
2006	Europe/Africa Zone Group III Group B	20 July	Clay	Banja Luka , Bosnia and Herzegovina	0 – 3	Lost
2006	Europe/Africa Zone Group III Group B	21 July	Clay	Banja Luka , Bosnia and Herzegovina	1 – 2	Lost
2006	Europe/Africa Zone Group III Relegation play-offs	22 July	Clay	Banja Luka , Bosnia and Herzegovina	3 – 0	Won
2006	Europe/Africa Zone Group III Relegation play-offs	23 July	Clay	Banja Luka , Bosnia and Herzegovina	2 – 1	Won
2007	Europe/Africa Zone Group III Group A	9 May	Clay	Cairo , Egypt	1 – 2	Lost
2007	Europe/Africa Zone Group III Group A	10 May	Clay	Cairo , Egypt	1 – 2	Lost
2007	Europe/Africa Zone Group III Group A	11 May	Clay	Cairo , Egypt	0 – 3	Lost
2007	Europe/Africa Zone Group III Relegation play-offs	12 May	Clay	Cairo , Egypt	3 – 0	Won
2007	Europe/Africa Zone Group III Relegation play-offs	13 May	Clay	Cairo , Egypt	3 – 0	Won
2008	Europe/Africa Zone Group III Group B	7 May	Clay	Yerevan , Armenia	3 – 0	Won
2008	Europe/Africa Zone Group III Group B	8 May	Clay	Yerevan , Armenia	3 – 0	Won
2008	Europe/Africa Zone Group III Group B	9 May	Clay	Yerevan , Armenia	1 – 2	Lost
2008	Europe/Africa Zone Group III Promotion play-offs	10 May	Clay	Yerevan , Armenia	0 – 3	Lost
2008	Europe/Africa Zone Group III Promotion play-offs	11 May	Clay	Yerevan , Armenia	1 – 2	Lost
2009	Europe/Africa Zone Group III Group B	1 April	Clay	Tunis , Tunisia	3 – 0	Won
2009	Europe/Africa Zone Group III Group B	2 April	Clay	Tunis , Tunisia	3 – 0	Won
2009	Europe/Africa Zone Group III Group B	3 April	Clay	Tunis , Tunisia	1 – 2	Lost
2009	Europe/Africa Zone Group III Promotion play-offs	4 April	Clay	Tunis , Tunisia	1 – 2	Lost
2009	Europe/Africa Zone Group III Promotion play-offs	5 April	Clay	Tunis , Tunisia	2 – 1	Promoted
