Actor	Character	Soap Opera	Years	Duration
Patrizio Rispo	Raffaele Giordano	Un posto al sole	1996—	18 years
Luisa Amatucci	Silvia Graziani	Un posto al sole	1996—	18 years
Alberto Rossi	Michele Saviani	Un posto al sole	1996—	18 years
Germano Bellavia	Guido Del Bue	Un posto al sole	1996—	18 years
Marzio Honorato	Renato Poggi	Un posto al sole	1996—	18 years
Carmen Scivittaro	Teresa Diacono	Un posto al sole	1998—	16 years
Peppe Zarbo	Franco Boschi	Un posto al sole	1998—	16 years
Marina Tagliaferri	Giulia Poggi	Un posto al sole	1996–2008, 2011—	15 years
Claudia Ruffo	Angela Poggi	Un posto al sole	1996–2007, 2010—	15 years
Luca Turco	Niko Poggi	Un posto al sole	1999—	15 years
Ilenia Lazzarin	Viola Bruni	Un posto al sole	2001—	13 years
Marina Giulia Cavalli	Ornella Bruni	Un posto al sole	2001—	13 years
Riccardo Polizzy Carbonelli	Roberto Ferri	Un posto al sole	2001—	13 years
Elisabetta Coraini	Laura Beccaria	CentoVetrine	2001—	13 years
Pietro Genuardi	Ivan Bettini	CentoVetrine	2001—	13 years
Sergio Troiano	Valerio Bettini	CentoVetrine	2001—	13 years
Nina Soldano	Marina Giordano	Un posto al sole	2003—	11 years
Delia Boccardo	Tilly Nardi	Incantesimo	1998–2008	10 years
