Position	Team	Points	Played	Drawn	Lost	Against	Difference
1	Santos	89	46	8	11	58	45
2	Atlético-PR	86	46	11	10	56	37
3	São Paulo	82	46	10	12	43	35
4	Palmeiras	79	46	13	11	47	25
5	Corinthians	74	46	14	12	54	0
6	Goiás	72	46	9	16	68	13
7	Juventude	70	46	10	16	66	- 6
8	Internacional	67	46	7	19	59	7
9	Fluminense	67	46	13	15	68	- 3
10	Ponte Preta	64	46	7	20	73	- 30
11	Figueirense	63	46	12	17	59	- 2
12	Coritiba	62	46	17	14	48	5
13	Cruzeiro	56	46	8	22	81	- 12
14	Paysandu	56	46	14	18	76	- 20
15	Paraná	54	46	9	22	73	- 21
16	Vasco	54	46	12	20	68	- 4
17	Flamengo	54	46	15	18	53	- 2
18	São Caetano	53	46	8	15	49	16
19	Atlético-MG	53	46	17	17	66	- 6
20	Botafogo	51	46	18	17	71	- 9
21	Criciúma	50	46	11	22	78	- 17
22	Guarani	49	46	16	19	55	- 12
23	Vitória	48	46	9	24	87	- 19
24	Grêmio	39	46	12	25	80	- 20
