Player	PL Apps	PL G	CL Apps	CL G	FAC / LC Apps	FAC / LC G	Total Apps	Total G	FA YC	UEFA YC
Gerrard	31	16	10	7	3	1	44	24	5	1
Torres	24	14	9	2	5	1	38	17	2	1
Kuyt	38	12	11	3	2	0	51	15	0	0
Benayoun	32	8	9	1	1	0	42	9	0	1
Keane	19	5	7	2	2	0	28	7	2	0
Riera	28	3	9	1	3	1	40	5	1	3
Alonso	33	3	10	1	4	0	47	4	7	1
Babel	27	3	10	1	5	0	42	4	3	0
Aurélio	24	2	8	1	1	0	33	3	0	2
N'Gog	14	2	3	1	2	0	19	3	1	0
Dossena	16	1	7	1	3	0	26	2	2	2
Agger	18	1	5	0	3	1	26	2	4	2
Hyypiä	16	1	0	0	3	1	19	2	1	0
Lucas	25	1	10	1	4	1	39	3	4	1
Arbeloa	29	1	12	0	2	0	43	1	8	3
Plessis	1	0	2	0	2	1	5	1	1	0
Carragher	38	0	12	0	4	0	54	0	5	0
Mascherano	27	0	8	0	3	0	38	0	6	3
Škrtel	21	0	7	0	2	0	30	0	4	1
El Zhar	15	0	2	0	2	0	19	0	3	0
Insúa	10	0	0	0	3	0	13	0	0	0
Pennant	3	0	0	0	1	0	5	0	0	0
Spearing	0	0	2	0	0	0	2	0	0	0
Darby	0	0	1	0	1	0	2	0	0	0
Degen	0	0	0	0	2	0	2	0	0	0
Kelly	0	0	1	0	0	0	1	0	0	0
Voronin	0	0	0	0	0	0	0	0	0	0
