Week	Date	Opponent	Result	Attendance
1	September 6, 1981	at St. Louis Cardinals	W 20–7	50,351
2	September 10, 1981	Pittsburgh Steelers	W 30–10	75,059
3	September 20, 1981	at Houston Oilers	W 16–10	47,379
4	September 27, 1981	at Baltimore Colts	W 31–28	41,630
5	October 4, 1981	New York Jets	T 28–28	68,723
6	October 12, 1981	at Buffalo Bills	L 31–21	78,576
7	October 18, 1981	Washington Redskins	W 13–10	47,367
8	October 25, 1981	at Dallas Cowboys	L 28–27	64,221
9	November 1, 1981	Baltimore Colts	W 27–10	46,061
10	November 8, 1981	at New England Patriots	W 30–27	60,436
11	November 15, 1981	Oakland Raiders	L 33–17	61,777
12	November 22, 1981	at New York Jets	L 16–15	59,962
13	November 30, 1981	Philadelphia Eagles	W 13–10	67,797
14	December 6, 1981	New England Patriots	W 24–14	50,421
15	December 13, 1981	at Kansas City Chiefs	W 17–7	57,407
16	December 19, 1981	Buffalo Bills	W 16–6	72,956
