Place	Rider	Country	Machine	Speed	Time	Points
1	Kel Carruthers	Australia	Yamaha	96.13mph	2:21.19.2	15
2	Rod Gould	United Kingdom	Yamaha	93.75mph	2:24.54.0	12
3	Günter Bartusch	East Germany	MZ	93.75mph	2:26.58.0	10
4	Chas Mortimer	United Kingdom	Yamaha	91.95mph	2:27.44.2	8
5	Peter Berwick	United Kingdom	Suzuki	91.93mph	2:27.46.0	6
6	Alex George	United Kingdom	Yamaha	91.42mph	2:28.35.8	5
7	Ian Richardson	United Kingdom	Yamaha	91.22mph	2:28.53.6	4
8	Börje Jansson	Sweden	Yamaha	90.57mph	2:29.59.6	3
9	Tony Smith	United Kingdom	Yamaha	90.44mph	2:30.12.2	2
10	Bill Smith	United Kingdom	Yamaha	90.20mph	2:30.36.2	1
