Conference	# of Bids	Record	Win %	Round of 32	Sweet Sixteen	Elite Eight	Final Four	Championship Game
Southeastern	7	11–6	.647	5	4	3	1	1
Atlantic Coast	4	7–4	.636	3	3	2	1	1
Pacific-10	4	5–4	.556	3	2	1	1	–
Big Ten	4	2–4	.333	4	–	–	–	–
Big West	3	3–3	.500	3	1	–	–	–
Atlantic 10	3	1–3	.250	2	–	–	–	–
Southwest	3	1–3	.250	1	1	–	–	–
Big East	2	4–2	.667	2	1	1	1	–
American South	2	3–2	.600	1	1	1	–	–
Colonial	2	2–2	.500	1	1	–	–	–
Metro	2	1–2	.333	1	–	–	–	–
Big Eight	1	2–1	.667	1	1	–	–	–
Gateway	1	1–1	.500	1	–	–	–	–
Mid-American	1	1–1	.500	1	–	–	–	–
Patriot	1	1–1	.500	1	–	–	–	–
Southland	1	1–1	.500	1	–	–	–	–
Sun Belt	1	1–1	.500	1	1	–	–	–
