Year	Entrant	Chassis	Engine	Points
1966	Ken Tyrrell Racing	Matra MS5 F2	Cosworth Str-4	0
1967	Ken Tyrrell Racing	Matra MS7 F2	Cosworth Str-4	1
1967	Cooper Car Company	Cooper T81B	Maserati V12	1
1968	Scuderia Ferrari	Ferrari 312	Ferrari V12	27
1969	Motor Racing Developments	Brabham BT26A	Ford V8	37
1970	Scuderia Ferrari	Ferrari 312B	Ferrari F12	40
1971	Scuderia Ferrari	Ferrari 312B	Ferrari F12	19
1971	Scuderia Ferrari	Ferrari 312B2	Ferrari F12	19
1972	Scuderia Ferrari	Ferrari 312B2	Ferrari F12	27
1973	Scuderia Ferrari	Ferrari 312B2	Ferrari F12	12
1973	Scuderia Ferrari	Ferrari 312B3	Ferrari F12	12
1973	Yardley Team McLaren	McLaren M23	Ford V8	12
1973	Frank Williams Racing Cars	Iso Marlboro IR	Ford V8	12
1974	John Player Team Lotus	Lotus 72E	Ford V8	12
1974	John Player Team Lotus	Lotus 76	Ford V8	12
1975	John Player Team Lotus	Lotus 72E	Ford V8	3
1976	Frank Williams Racing Cars	Wolf - Williams FW05	Ford V8	0
1976	Walter Wolf Racing	Wolf - Williams FW05	Ford V8	0
1976	Team Ensign	Ensign N176	Ford V8	0
1977	Team Tissot Ensign with Castrol	Ensign N177	Ford V8	0
1978	Team Tissot Ensign	Ensign N177	Ford V8	0
1979	Ligier Gitanes	Ligier JS11	Ford V8	3
