Game	Date	Opponent	Score	Location/Attendance	Record
30	Jan 2	at San Antonio Spurs	80-83 L	Alamodome/15,220	22-8
Game	Date	Opponent	Score	Location/Attendance	Record
31	Jan 4	vs Miami Heat	83-80 W	Delta Center	23-8
32	Jan 6	at Chicago Bulls	89-102 L	United Center	23-9
33	Jan 8	at Milwaukee Bucks	112-119 L OT	Bradley Center	23-10
34	Jan 9	at Toronto Raptors	96-110 L	SkyDome	23-11
35	Jan 11	at Detroit Pistons	77-87 L	The Palace of Auburn Hills	23-12
36	Jan 13	at Philadelphia 76ers	97-96 W OT	CoreStates Center	24-12
37	Jan 16	vs Phoenix Suns	95-91 W	Delta Center	25-12
38	Jan 17	at Vancouver Grizzlies	106-68 W	General Motors Place	26-12
39	Jan 19	at Portland Trail Blazers	96-102 L	Rose Garden Arena	26-13
40	Jan 20	vs Cleveland Cavaliers	94-74 W	Delta Center	27-13
41	Jan 22	at Phoenix Suns	111-99 W	America West Arena	28-13
42	Jan 25	at Houston Rockets	105-100 W OT	The Summit	29-13
43	Jan 28	vs Denver Nuggets	114-99 W	Delta Center	30-13
44	Jan 30	vs Atlanta Hawks	102-96 W	Delta Center	31-13
