No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
47	1	"Red Sky at Night"	Chris Long	Bruno Heller	September23,2010	3X6401	15.50
48	2	"Cackle-Bladder Blood"	John Polson	Ashley Gable	September30,2010	3X6402	14.65
49	3	"The Blood on His Hands"	David M. Barrett	Tom Szentgyorgyi	October7,2010	3X6403	14.39
50	4	"Red Carpet Treatment"	Charles Beeson	Daniel Cerone	October14,2010	3X6404	15.13
51	5	"The Red Ponies"	John F. Showalter	Eoghan Mahony	October21,2010	3X6405	14.42
52	6	"Pink Chanel Suit"	Eric Laneuville	Ken Woodruff	October28,2010	3X6406	14.76
53	7	"Red Hot"	Chris Long	Ashley Gable	November4,2010	3X6407	14.42
54	8	"Ball of Fire"	Stephen Gyllenhaal	Tom Szentgyorgyi	November11,2010	3X6408	13.84
55	9	"Red Moon"	Simon Baker	Bruno Heller	November18,2010	3X6409	14.74
56	10	"Jolly Red Elf"	John F. Showalter	Daniel Cerone	December9,2010	3X6410	13.41
57	11	"Bloodsport"	Roxann Dawson	Eoghan Mahony	January6,2011	3X6411	14.88
58	12	"Bloodhounds"	Charles Beeson	Erika Green Swafford	January20,2011	3X6412	14.82
59	13	"Red Alert"	Guy Ferland	Jordan Harper	February3,2011	3X6413	15.18
60	14	"Blood for Blood"	Martha Mitchell	David Appelbaum	February10,2011	3X6414	14.86
61	15	"Red Gold"	Tom Verica	Cindi M. Grossenbacher	February17,2011	3X6415	15.01
62	16	"Red Queen"	Chris Long	Daniel Cerone	February24,2011	3X6416	14.79
63	17	"Bloodstream"	Bobby Roth	Erika Green Swafford	March10,2011	3X6417	14.28
64	18	"The Red Mile"	Darnell Martin	Tom Szentgyorgyi	March31,2011	3X6418	14.27
65	19	"Every Rose Has Its Thorn"	Charles Beeson	Ken Woodruff	April7,2011	3X6419	15.17
66	20	"Redacted"	David M. Barrett	Eoghan Mahony	April28,2011	3X6420	13.53
67	21	"Like a Redheaded Stepchild"	Eric Laneuville	Jordan Harper	May5,2011	3X6421	14.00
68	22	"Rhapsody in Red"	David M. Barrett	David Appelbaum	May12,2011	3X6422	14.07
69	23	" Strawberries and Cream (Part 1) "	Chris Long	Ashley Gable	May19,2011	3X6423	14.11
