Winners	Match points	Aggregate score	Points margin	Losers
Bath	4 – 0	125 – 11	114	L'Aquila
Montferrand	4 – 0	113 – 3	110	Leonessa
Saracens	4 – 0	127 – 18	109	Rugby Roma
Castres Olympique	4 – 0	128 – 24	104	Rovigo
Newcastle Falcons	4 – 0	137 – 37	100	Valladolid RAC
NEC Harlequins	4 – 0	94 – 21	73	El Salvador
Grenoble	4 – 0	76 – 16	60	Gran Parma
Glasgow	4 – 0	68 – 24	44	Montpellier
Colomiers	4 – 0	75 – 32	43	Petrarca Padova
Narbonne	4 – 0	52 – 23	29	Rotherham
Pau	4 – 0	58 – 34	24	Overmach Parma
Brive	2 – 2	61 – 41	20	Viadana
London Irish	2 – 2	62 – 54	8	Montauban
