Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2 March 2008	Hornets	L 84–101 (OT)	Wizards	Peja Stojakovic (17)	20,173	39–19
3 March 2008	Hornets	W 100–88 (OT)	Knicks	Chris Paul (27)	18,467	40–19
5 March 2008	Hawks	W 116–101 (OT)	Hornets	Peja Stojakovic (29)	17,430	41–19
7 March 2008	Nets	W 107–96 (OT)	Hornets	Chris Paul (25)	17,225	42–19
8 March 2008	Hornets	L 96–106 (OT)	Rockets	Chris Paul (37)	18,279	42–20
12 March 2008	Spurs	W 100–75 (OT)	Hornets	David West (29)	17,419	43–20
14 March 2008	Lakers	W 108–98 (OT)	Hornets	Chris Paul (27)	18,299	44–20
16 March 2008	Hornets	L 84–105 (OT)	Pistons	Peja Stojakovic (21)	22,076	44–21
17 March 2008	Bulls	W 108–97 (OT)	Hornets	Chris Paul (37)	17,337	45–21
19 March 2008	Rockets	W 90–69 (OT)	Hornets	Bonzi Wells (25)	18,056	46–21
22 March 2008	Celtics	W 113–106 (OT)	Hornets	David West (37)	18,380	47–21
25 March 2008	Hornets	W 114–106 (OT)	Pacers	David West (35)	10,829	48–21
26 March 2008	Hornets	W 100–99 (OT)	Cavaliers	Peja Stojakovic (25)	20,562	49–21
28 March 2008	Hornets	L 92–112 (OT)	Celtics	Chris Paul (22)	18,624	49–22
30 March 2008	Hornets	W 118–111 (OT)	Raptors	David West (32)	19,800	50-22
