Result	Record	Method	Event	Round	Location
Loss	9-10	TKO (referee stoppage)	K-1 World Grand Prix 2008 in Hawaii	1	Honolulu, Hawaii, USA
Win	9-9	KO (right punch)	K-1 PREMIUM 2007 Dynamite!!	2	Osaka, Japan
Loss	8-9	KO (right high kick)	K-1 World Grand Prix 2007 in Hong Kong	2	Hong Kong
Loss	8-8	TKO (arm injury)	K-1 PREMIUM 2006 Dynamite!!	2	Osaka, Japan
Win	8-7	TKO (corner stoppage)	HEAT 2	2	Aichi, Japan
Win	7-7	KO (punches)	Xplosion Superfight 14	3	Sydney, Australia
Win	6-7	TKO (corner stoppage)	Bushido Europe: Rotterdam Rumble	2	Rotterdam, Netherlands
Loss	5-7	TKO (doctor stoppage)	K-1 Survival 2002	2	Toyama, Japan
Loss	5-6	KO (knee)	K-1 Burning 2002	1	Hiroshima, Japan
Loss	5-5	KO (right knee)	K-1 World Grand Prix 2001 Final	2	Tokyo, Japan
Win	5-4	Extra round decision (unanimous)	K-1 Andy Memorial 2001 Japan GP Final	4	Saitama, Japan
Win	4-4	KO (right low kick)	K-1 Andy Memorial 2001 Japan GP Final	1	Saitama, Japan
Win	3-4	KO (right low kick)	K-1 Andy Memorial 2001 Japan GP Final	1	Saitama, Japan
Win	2-4	KO (right low kick)	K-1 Gladiators 2001	3	Yokohama, Japan
Loss	1-4	Decision (unanimous)	K-1 World Grand Prix 2000 in Fukuoka	3	Nagoya, Japan
Loss	1-3	KO (left hook)	K-1 World Grand Prix 2000 in Nagoya	1	Nagoya, Japan
Win	1-2	KO (right low kick)	K-1 World Grand Prix 2000 in Nagoya	1	Nagoya, Japan
Loss	0-1	KO (punch)	K-1 Dream '98	2	Nagoya, Japan
