Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus
Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus
Ystrad Rhondda RFC	22	0	3	672	280	81	34	9
Penallta RFC	22	0	5	499	312	73	40	10
Mountain Ash RFC	22	0	6	486	270	60	29	8
Tredegar RFC	22	0	9	521	327	69	41	10
Builth Wells RFC	22	0	9	517	297	66	37	10
Treherbert RFC	22	0	8	445	406	57	45	5
Abercynon RFC	22	0	10	535	476	71	64	9
Ynysybwl RFC	22	0	12	476	389	67	47	6
Rhydyfelin RFC	22	0	13	385	426	51	53	5
Newport HSOB RFC	22	0	17	380	710	53	99	5
Llanishen RFC	22	0	18	300	632	35	92	3
Pill Harriers RFC	22	0	22	208	899	33	135	1
Correct as of 00:00 11 May 2008	Correct as of 00:00 11 May 2008	Correct as of 00:00 11 May 2008	Correct as of 00:00 11 May 2008	Correct as of 00:00 11 May 2008	Correct as of 00:00 11 May 2008	Correct as of 00:00 11 May 2008	Correct as of 00:00 11 May 2008	Correct as of 00:00 11 May 2008
