Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	44	1:33:46.717	3
Giancarlo Fisichella	Jordan - Peugeot	44	+26.753	4
Heinz-Harald Frentzen	Williams - Renault	44	+32.147	7
Johnny Herbert	Sauber - Petronas	44	+39.025	11
Jacques Villeneuve	Williams - Renault	44	+42.103	1
Gerhard Berger	Benetton - Renault	44	+1:03.741	15
Pedro Diniz	Arrows - Yamaha	44	+1:25.931	8
Jean Alesi	Benetton - Renault	44	+1:42.008	2
Gianni Morbidelli	Sauber - Petronas	44	+1:42.582	13
Eddie Irvine	Ferrari	43	Collision	17
Mika Salo	Tyrrell - Ford	43	+1 Lap	19
Jan Magnussen	Stewart - Ford	43	+1 Lap	18
Damon Hill	Arrows - Yamaha	42	Wheel Nut	9
Ukyo Katayama	Minardi - Hart	42	Engine	20
Jarno Trulli	Prost - Mugen-Honda	42	+2 Laps	14
Mika Häkkinen	McLaren - Mercedes	44	Disqualified	5
Jos Verstappen	Tyrrell - Ford	25	Spun off	21
Ralf Schumacher	Jordan - Peugeot	21	Spun off	6
David Coulthard	McLaren - Mercedes	19	Spun off	10
Tarso Marques	Minardi - Hart	18	Spun off	22
Rubens Barrichello	Stewart - Ford	8	Steering	12
Shinji Nakano	Prost - Mugen-Honda	5	Electrical	16
