District	Incumbent	Party	First elected	Result	Candidates
Florida 1	Earl Dewitt Hutto	Democratic	1978	Re-elected	Earl Dewitt Hutto (D) Unopposed
Florida 2	Don Fuqua	Democratic	1962	Re-elected	Don Fuqua (D) Unopposed
Florida 3	Charles Edward Bennett	Democratic	1948	Re-elected	Charles Edward Bennett (D) Unopposed
Florida 5	Bill McCollum	Republican	1980	Re-elected	Bill McCollum (R) Unopposed
Florida 6	Buddy MacKay	Democratic	1982	Re-elected	Buddy MacKay (D) 99.3% Others 0.7%
Florida 8	Bill Young	Republican	1970	Re-elected	Bill Young (R) 80.3% Robert Kent (D) 19.7%
Florida 9	Michael Bilirakis	Republican	1982	Re-elected	Michael Bilirakis (R) 78.6% Jack Wilson (D) 21.4%
Florida 10	Andy Ireland	Republican	1976	Re-elected	Andy Ireland (R) 61.9% Patricia M. Glass (D) 38.1%
Florida 11	Bill Nelson	Democratic	1978	Re-elected	Bill Nelson (D) 60.5% Rob Quartel (R) 39.5%
Florida 12	Tom Lewis	Republican	1982	Re-elected	Tom Lewis (R) Unopposed
Florida 13	Connie Mack	Republican	1982	Re-elected	Connie Mack (R) Unopposed
Florida 14	Dan Mica	Democratic	1978	Re-elected	Dan Mica (D) 55.4% Don Ross (R) 44.6%
Florida 16	Lawrence J. Smith	Democratic	1982	Re-elected	Lawrence J. Smith (D) 56.4% Tom Bush (R) 43.6%
Florida 17	William Lehman	Democratic	1972	Re-elected	William Lehman (D) Unopposed
Florida 18	Claude Pepper	Democratic	1962	Re-elected	Claude Pepper (D) 60.5% Ricardo Nunez (R) 39.5%
