Performance comparison	78 Fury	78 Monaco	79 St. Regis	80 St. Regis	81 St. Regis
Engine (cid)	440	400	360	360	318
HP, SAE	255bhp	190bhp	195bhp	185bhp	165bhp
Axle ratio	2.71:1	3.21:1	3.21:1	2.94:1	2.94:1
Weight (lbs)	4,413	4,369	4,530	4,100	4,086
Wheelbase (in)	117.4	117.4	118.5	118.5	118.5
Road course lap time	91.1	93.6	91.65	91.8	93.93
0–60mph	NA	NA	10.1	11.3	12.76
0–100mph	24.8	34.4	30.2	36.7	45.72
Top Speed, mph	133	117	122.9	122.7	114.7
Braking, ft/sec2	23.3	22.6	21.4	23.5	23.67
1/4mi. time	NA	NA	NA	18.4	19.63
1/4mi speed	NA	NA	NA	77.5	74.50
