Tie no	Home team	Score	Away team	Date
1	Enfield	3–0	Wembley	22 November 1980
2	Blackpool	4–0	Fleetwood Town	22 November 1980
3	Chester	1–2	Barnsley	22 November 1980
4	Darlington	0–2	Bury	22 November 1980
5	Barnet	2–2	Minehead	22 November 1980
Replay	Minehead	1–2	Barnet	25 November 1980
6	Burnley	1–0	Scarborough	22 November 1980
7	Yeovil Town	2–1	Farnborough Town	22 November 1980
8	Reading	1–2	Fulham	22 November 1980
9	Walsall	3–0	Stafford Rangers	22 November 1980
10	Gillingham	2–1	Dagenham	22 November 1980
11	Northwich Victoria	1–1	Huddersfield Town	22 November 1980
Replay	Huddersfield Town	6–0	Northwich Victoria	25 November 1980
12	Lincoln City	1–0	Gateshead	22 November 1980
13	Swindon Town	3–2	Weymouth	22 November 1980
14	Tranmere Rovers	0–0	York City	22 November 1980
Replay	York City	1–2	Tranmere Rovers	25 November 1980
15	Stockport County	0–0	Sheffield United	22 November 1980
Replay	Sheffield United	3–2	Stockport County	25 November 1980
16	Wycombe Wanderers	0–3	Bournemouth	22 November 1980
17	Kidderminster Harriers	1–1	Millwall	22 November 1980
Replay	Millwall	1–0	Kidderminster Harriers	25 November 1980
18	Brentford	2–2	Addlestone & Weybridge Town	22 November 1980
Replay	Brentford	2–0	Addlestone & Weybridge Town	25 November 1980
19	Northampton Town	1–4	Peterborough United	22 November 1980
20	Plymouth Argyle	2–0	Newport County	22 November 1980
21	Hull City	2–1	Halifax Town	22 November 1980
22	Wimbledon	7–2	Windsor & Eton	22 November 1980
23	Southend United	0–1	Hereford United	22 November 1980
24	Exeter City	5–0	Leatherhead	22 November 1980
25	Scunthorpe United	3–1	Hartlepool United	22 November 1980
26	Blyth Spartans	2–1	Burton Albion	22 November 1980
27	Mansfield Town	3–1	Rochdale	22 November 1980
28	Port Vale	4–2	Bradford City	22 November 1980
29	Torquay United	2–0	Barton Rovers	22 November 1980
30	Workington	0–0	Carlisle United	22 November 1980
Replay	Carlisle United	4–1	Workington	1 December 1980
31	Kettering Town	1–1	Maidstone United	22 November 1980
Replay	Maidstone United	0–0	Kettering Town	26 November 1980
Replay	Maidstone United	3–1	Kettering Town	1 December 1980
32	Wigan Athletic	2–2	Chesterfield	22 November 1980
Replay	Chesterfield	2–0	Wigan Athletic	25 November 1980
33	Boston United	0–4	Rotherham United	22 November 1980
34	Harlow Town	0–2	Charlton Athletic	22 November 1980
35	Colchester United	3–0	Portsmouth	22 November 1980
36	Gravesend & Northfleet	1–2	St Albans City	22 November 1980
37	Burscough	1–2	Altrincham	22 November 1980
38	Mossley F.C.	1–0	Crewe Alexandra	22 November 1980
39	Sutton Coldfield Town	0–2	Doncaster Rovers	22 November 1980
40	Oxford United	1–0	Aldershot	22 November 1980
