Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	60	1:47:02.450	2
Mika Häkkinen	McLaren - Mercedes	60	+22.465	1
Eddie Irvine	Ferrari	60	+29.199	5
Alexander Wurz	Benetton - Playlife	59	+1 Lap	11
Giancarlo Fisichella	Benetton - Playlife	59	+1 Lap	10
Ralf Schumacher	Jordan - Mugen-Honda	59	+1 Lap	21
Jacques Villeneuve	Williams - Mecachrome	59	+1 Lap	3
Shinji Nakano	Minardi - Ford	58	+2 Laps	19
Toranosuke Takagi	Tyrrell - Ford	56	+4 Laps	17
Jean Alesi	Sauber - Petronas	53	Electrical	8
Pedro Diniz	Arrows	45	Spun off	12
Olivier Panis	Prost - Peugeot	40	Spun off	22
Rubens Barrichello	Stewart - Ford	39	Accident	16
Jos Verstappen	Stewart - Ford	38	Engine	15
David Coulthard	McLaren - Mercedes	37	Spun off	4
Jarno Trulli	Prost - Peugeot	37	Spun off	14
Ricardo Rosset	Tyrrell - Ford	29	Spun off	20
Esteban Tuero	Minardi - Ford	29	Spun off	18
Johnny Herbert	Sauber - Petronas	27	Spun off	9
Mika Salo	Arrows	27	Throttle	13
Heinz-Harald Frentzen	Williams - Mecachrome	15	Spun off	6
Damon Hill	Jordan - Mugen-Honda	13	Spun off	7
