Game	Date	Team	Score	High points	High assists	Location Attendance	Record
18	December 2	@ Chicago	W 103–95 (OT)	Andre Miller (28)	Andre Iguodala (5)	United Center 20,485	8–10
19	December 3	L.A. Lakers	L 102–114 (OT)	Andre Miller (26)	Andre Miller , Andre Iguodala (5)	Wachovia Center 19,119	8–11
20	December 5	@ Detroit	W 96–91 (OT)	Andre Miller (19)	Andre Iguodala (5)	The Palace of Auburn Hills 22,076	9–11
21	December 6	New Jersey	L 84–95 (OT)	Andre Iguodala (20)	Andre Miller (5)	Wachovia Center 13,096	9–12
22	December 10	Cleveland	L 93–101 (OT)	Andre Iguodala (27)	Andre Miller (8)	Wachovia Center 15,550	9–13
23	December 12	@ Cleveland	L 72–88 (OT)	Willie Green (19)	Andre Miller (7)	Quicken Loans Arena 20,562	9–14
24	December 13	Washington	W 104–89 (OT)	Elton Brand (27)	Andre Miller (12)	Wachovia Center 15,865	10–14
25	December 17	Milwaukee	W 93–88 (OT)	Louis Williams (25)	Andre Iguodala (7)	Wachovia Center 11,538	11–14
26	December 19	@ Washington	W 109–103 (OT)	Louis Williams (26)	Andre Miller (6)	Verizon Center 18,323	12–14
27	December 20	Indiana	L 94–95 (OT)	Andre Iguodala (26)	Andre Miller (12)	Wachovia Center 14,599	12–15
28	December 23	@ Boston	L 91–110 (OT)	Louis Williams , Marreese Speights (16)	Louis Williams , Andre Miller (8)	TD Banknorth Garden 18,624	12–16
29	December 26	@ Denver	L 101–105 (OT)	Andre Iguodala (24)	Andre Miller (8)	Pepsi Center 19,155	12–17
30	December 29	@ Utah	L 95–112 (OT)	Andre Iguodala , Thaddeus Young (17)	Andre Miller (8)	EnergySolutions Arena 19,911	12–18
31	December 31	@ L.A. Clippers	W 100–92 (OT)	Andre Iguodala (28)	Andre Miller (9)	Staples Center 14,021	13–18
