Name	Pos.	Height	Weight	Date of Birth	Club
James Stanton	GK	m (ft 6in)	kg (lb)	1983-07-21	Fremantle Mariners
Dean Semmens	CB	m (ft 2in)	kg (lb)	1979-11-22	CN Sant Andreu
Trent Franklin	D	m (ft 0in)	kg (lb)	1979-02-12	Sydney University Lions
Pietro Figlioli	D	m (ft 2in)	kg (lb)	1984-05-29	CN Barcelona
Craig Miller	D	m (ft 3in)	kg (lb)	1971-11-23	Cronulla Sharks
Toby Jenkins	CF	m (ft 4in)	kg (lb)	1979-11-26	Brisbane Barracudas
Tim Neesham	D	m (ft 0in)	kg (lb)	1979-10-20	Firenze Pallanuoto
Sam McGregor	CB	m (ft 4in)	kg (lb)	1984-08-12	CN Terassa
Thomas Whalan	CB	m (ft 4in)	kg (lb)	1980-10-13	CN Atlètic-Barceloneta
Gavin Woods	CF	m (ft 6in)	kg (lb)	1978-03-01	Balmain Tigers
Alex Osadchuk	D	m (ft 11in)	kg (lb)	1972-02-19	Brisbane Barracudas
Nathan Thomas	D	m (ft 4in)	kg (lb)	1972-08-28	CN Barcelona
Rafael Sterk	GK	m (ft 1in)	kg (lb)	1978-01-27	Brisbane Barracudas
Head Coach: Erkin Shagaev	Head Coach: Erkin Shagaev	Head Coach: Erkin Shagaev	Head Coach: Erkin Shagaev	Head Coach: Erkin Shagaev	Head Coach: Erkin Shagaev
