Draw	Song	Artist	Jury (Points)	Televotes (Points)	Total Points	Place
1	Les Droits De L'Âme	Alex	58 (7)	4497 (2)	9	4
2	Euroland	Karine Trécy	44 (11)	482 (11)	22	12
3	Douce	Caractère	90 (2)	1438 (7)	9	4
4	C'Est Souvent Ça L'Amour	Nathalie Marine	66 (6)	1680 (6)	12	6
5	Plus Jamais, Never More	Pedro Alves	89 (3)	3725 (3)	6	3
6	Go Ahead	Anath	58 (7)	1186 (8)	15	7
7	Irradaka	Kukumiku	48 (10)	1084 (9)	19	10
8	La Même Histoire	Ginie Line	94 (1)	3457 (4)	5	2
9	Gazoline	Mo & La Gazo	72 (5)	378 (12)	17	9
10	Je Veux Donner Ma Voix	Nayah	85 (4)	11521 (1)	5	1
11	Ihtidael	Israhn	50 (9)	862 (10)	19	10
12	Euro Song	Uni.T	26 (12)	2153 (5)	17	7
