Date	Visitor	Score	Home	Decision	Attendance	Record
November 2	Los Angeles	5 – 2	San Jose	Aubin	17,496	7–7–0
November 3	San Jose	3 – 1	Los Angeles	LaBarbera	18,118	7–8–0
November 10	Dallas	5 – 6	Los Angeles	Aubin	18,118	8–8–0
November 13	Los Angeles	3 – 4	Anaheim	LaBarbera	17,174	8–8–1
November 15	Anaheim	6 – 3	Los Angeles	Aubin	18,118	8–9–1
November 17	Phoenix	1 – 0	Los Angeles	LaBarbera	15,659	8–10–1
November 19	Los Angeles	0 – 3	Dallas	LaBarbera	17,208	8–11–1
November 21	Los Angeles	1 – 4	Phoenix	LaBarbera	12,161	8–12–1
November 24	Los Angeles	2 – 1	San Jose	LaBarbera	17,496	9–12–1
November 25	Los Angeles	2 – 3	Anaheim	LaBarbera	17,174	9–13–1
November 28	Los Angeles	3 – 2	San Jose	LaBarbera	17,071	10–13–1
