School	Location	Enrolment	Founded	Denomination	Boys/Girls	Day/Boarding	School Colors
Annesley College	Wayville	530	1902	Uniting Church	Girls	Day & Boarding	Maroon & White
Concordia College	Highgate	700	1890	Lutheran	Boys & Girls	Day	Blue & Gold
Immanuel College	Novar Gardens	800	1895	Lutheran	Boys & Girls	Day & Boarding	Blue, Gold & White
Pembroke School	Kensington Park	1545	1915	Non-denominational	Boys & Girls	Day & Boarding	Royal Blue, Green & Gold
Pulteney Grammar School	Adelaide	820	1847	Anglican	Boys & Girls	Day	Navy Blue, White & Gold
St Peter's Collegiate Girls' School	Stonyfell	550	1894	Anglican	Girls	Day	Navy Blue & White
Scotch College	Mitcham	850	1919	Uniting Church	Boys & Girls	Day & Boarding	Blue & Gold
Seymour College	Glen Osmond	765	1922	Uniting Church	Girls	Day & Boarding	Green, Navy & White
Walford Anglican School for Girls	Hyde Park	650	1893	Anglican	Girls	Day & Boarding	Navy Blue, Light Blue & Gold
Westminster School	Marion	1100	1961	Uniting Church	Boys & Girls	Day & Boarding	Green & White
