Order Year	Builder	Model	Length (ft.)	Engine/Transmission
1998	OBI	05.503	30	DDS 50 / Allison WB-400R6
1999	OBI	05.505	30	DDS 50 / Allison WB-400R6
2000	OBI	05.501	40	DDS 50 / Allison WB-400R6
2001	OBI	05.505	30	DDS 50 / Allison WB-400R6
2001-02	OBI	05.502	35	DDS 50 / Allison WB-400R6
2007	NFI	D40LFR	40	Cummins ISL / Allison B400R
2007	NFI	D35LFR	35	Cummins ISL / Allison B400R
2009	NFI	D40LFR	40	Cummins ISL / Allison B400R
2009	OBI	07.502 NG	30	Cummins ISL / Allison B400R
2010	NFI	D40LFR	40	Cummins ISL / Allison B400R
2011–2013	NFI	XD40/XD35	40/35	Cummins ISL9 / Allison B400R
