Team	Manager	Captain	Kit manufacturer	Shirt sponsor
Arsenal	George Graham	Tony Adams	Adidas	JVC
Aston Villa	Ron Atkinson	Kevin Richardson	Asics	Müller
Blackburn Rovers	Kenny Dalglish	Tim Sherwood	Asics	McEwan's Lager
Chelsea	Glenn Hoddle	Dennis Wise	Umbro	Amiga
Coventry City	Phil Neal	Brian Borrows	Ribero	Peugeot
Everton	Mike Walker	Dave Watson	Umbro	NEC
Ipswich Town	John Lyall	Steve Palmer	Umbro	Fisons
Leeds United	Howard Wilkinson	Gordon Strachan	Asics	Thistle Hotels
Liverpool	Roy Evans	Ian Rush	Adidas	Carlsberg
Manchester City	Brian Horton	Keith Curle	Umbro	Brother
Manchester United	Alex Ferguson	Bryan Robson	Umbro	Sharp
Newcastle United	Kevin Keegan	Peter Beardsley	Asics	McEwan's Lager
Norwich City	John Deehan	Ian Butterworth	Ribero	Norwich and Peterborough
Oldham Athletic	Joe Royle	Mike Milligan	Umbro	JD Sports
Queens Park Rangers	Gerry Francis	David Bardsley	Clubhouse	CSF
Sheffield United	Dave Bassett	Brian Gayle	Umbro	Laver
Sheffield Wednesday	Trevor Francis	Chris Waddle	Puma	Sanderson
Southampton	Alan Ball	Matt Le Tissier	Pony	Dimplex
Swindon Town	John Gorman	Shaun Taylor	Loki	Burmah
Tottenham Hotspur	Osvaldo Ardiles	Gary Mabbutt	Umbro	Holsten
West Ham United	Billy Bonds	Steve Potts	Pony	Dagenham Motors
Wimbledon	Joe Kinnear	Vinnie Jones	Ribero	LBC
