Performer	Performances	Category	First performance	Last performance
Charles Anthony Category:Articles with hCards	2928	Tenor	03/06/1954	01/28/2010
James Levine Category:Articles with hCards	2441	Conductor	06/05/1971	05/14/2011
George Cehanovsky Category:Articles with hCards	2394	Baritone	11/13/1926	04/16/1966
Angelo Badà Category:Articles with hCards	2170	Tenor	11/16/1908	04/09/1938
Paul Franke Category:Articles with hCards	1980	Tenor	12/01/1948	04/16/1987
Louis D'Angelo Category:Articles with hCards	1882	Baritone	11/13/1917	02/15/1948
James Courtney Category:Articles with hCards	1829	Bass-baritone	11/29/1979	05/11/2012
Andrea Velis Category:Articles with hCards	1693	Tenor	10/23/1961	02/24/1994
Paul Plishka Category:Articles with hCards	1642	Bass	06/27/1967	01/28/2012
Paolo Ananian Category:Articles with hCards	1639	Bass	11/14/1908	04/12/1935
Giordano Paltrinieri Category:Articles with hCards	1618	Tenor	11/15/1918	04/23/1940
Vincenzo Reschiglian Category:Articles with hCards	1577	Baritone	11/08/1909	05/07/1929
Alessio De Paolis Category:Articles with hCards	1555	Tenor	12/03/1938	03/05/1964
Thelma Votipka Category:Articles with hCards	1422	Soprano	12/16/1935	04/16/1966
Russell Christopher Category:Articles with hCards	1410	Baritone	03/29/1963	04/20/1991
Clifford Harvuot Category:Articles with hCards	1297	Baritone	03/15/1942	12/31/1975
Antonio Scotti Category:Articles with hCards	1213	Baritone	11/15/1899	01/20/1933
Pietro Audisio Category:Articles with hCards	1193	Tenor	11/09/1909	05/03/1924
Robert Nagy Category:Articles with hCards	1189	Tenor	11/02/1957	04/16/1988
Louis Sgarro Category:Articles with hCards	1107	Bass	11/16/1954	03/08/1975
Léon Rothier Category:Articles with hCards	1107	Bass	12/10/1910	02/25/1939
Gene Boucher Category:Articles with hCards	1094	Baritone	06/25/1965	03/17/1984
Artur Bodanzky Category:Articles with hCards	1088	Conductor	11/18/1915	05/23/1939
Gabor Carelli Category:Articles with hCards	1079	Tenor	11/17/1951	01/22/1974
Albert Reiss Category:Articles with hCards	1070	Tenor	10/12/1901	04/14/1919
John Macurdy Category:Articles with hCards	1001	Bass	12/08/1962	05/06/2000
Robert Goodloe Category:Articles with hCards	984	Baritone	03/23/1964	06/08/1982
Lorenzo Alvary Category:Articles with hCards	979	Bass	11/26/1942	04/14/1978
Bernard Fitch Category:Articles with hCards	969	Tenor	02/20/1989	05/11/2012
Osie Hawkins Category:Articles with hCards	962	Baritone	01/22/1942	02/08/1986
Fausto Cleva Category:Articles with hCards	962	Conductor	12/04/1938	06/08/1971
Adamo Didur Category:Articles with hCards	933	Bass	11/14/1908	02/26/1933
Loretta Di Franco Category:Articles with hCards	928	Soprano	01/16/1961	04/21/1995
James Morris Category:Articles with hCards	928	Bass	01/07/1971	05/12/2012
Norman Scott Category:Articles with hCards	927	Bass	11/15/1951	06/29/1968
Giovanni Martinelli Category:Articles with hCards	926	Tenor	11/18/1913	03/24/1946
Giuseppe De Luca Category:Articles with hCards	926	Baritone	11/25/1915	03/24/1946
Millo Picco Category:Articles with hCards	921	Baritone	04/07/1919	02/19/1936
Calvin Marsh Category:Articles with hCards	911	Baritone	11/11/1954	08/22/1967
Andrij Dobriansky Category:Articles with hCards	905	Bass	02/11/1970	01/06/1996
Marie Mattfeld Category:Articles with hCards	899	Mezzo-soprano	04/29/1901	03/04/1927
Ezio Pinza Category:Articles with hCards	879	Bass	11/01/1926	05/14/1948
Anthony Laciura Category:Articles with hCards	875	Tenor	09/20/1982	04/12/2008
Jerome Hines Category:Articles with hCards	869	Bass	11/21/1946	01/24/1987
Enrico Caruso Category:Articles with hCards	863	Tenor	11/23/1903	12/24/1920
Arnold Gabor Category:Articles with hCards	803	Baritone	11/09/1923	03/17/1941
Richard Vernon Category:Articles with hCards	796	Bass	03/20/1977	11/28/2006
Nico Castel Category:Articles with hCards	793	Tenor	03/30/1970	10/18/1997
Robert Merrill Category:Articles with hCards	789	Baritone	12/15/1945	10/22/1983
Jean Kraft Category:Articles with hCards	784	Mezzo-soprano	02/07/1970	04/05/1989
Adolph Mühlmann Category:Articles with hCards	776	Baritone	11/07/1898	05/06/1910
Bernard Bégué Category:Articles with hCards	773	Baritone	11/24/1902	04/27/1917
Gennaro Papi Category:Articles with hCards	772	Conductor	04/29/1915	05/06/1941
Henriette Wakefield Category:Articles with hCards	770	Mezzo-soprano	01/18/1907	03/14/1935
Alfred Hertz Category:Articles with hCards	768	Conductor	11/28/1902	06/04/1915
Carlotta Ordassy Category:Articles with hCards	761	Soprano	01/22/1957	06/11/1977
Minnie Egener Category:Articles with hCards	752	Soprano	12/24/1903	12/15/1932
Lucine Amara Category:Articles with hCards	748	Soprano	11/06/1950	01/07/1991
Robert Schmorr Category:Articles with hCards	747	Tenor	07/30/1965	01/12/1978
Richard Tucker Category:Articles with hCards	738	Tenor	01/25/1945	12/03/1974
Pompilio Malatesta Category:Articles with hCards	736	Bass	11/25/1915	02/20/1939
Louise Homer Category:Articles with hCards	734	Mezzo-soprano	11/14/1900	11/28/1929
Shirley Love Category:Articles with hCards	731	Mezzo-soprano	11/30/1963	01/27/1984
Fernando Corena Category:Articles with hCards	723	Bass	02/06/1954	12/30/1978
Nicola Moscona Category:Articles with hCards	719	Bass	12/13/1937	12/09/1961
Max Altglass Category:Articles with hCards	714	Tenor	11/06/1924	02/19/1940
Lawrence Davidson Category:Articles with hCards	713	Bass	11/15/1947	02/08/1966
Eugène Dufriche Category:Articles with hCards	703	Baritone	11/29/1893	04/28/1908
Rosalind Elias Category:Articles with hCards	686	Mezzo-soprano	02/23/1954	11/01/1996
Tullio Serafin Category:Articles with hCards	683	Conductor	11/03/1924	04/12/1934
Frank Guarrera Category:Articles with hCards	680	Baritone	12/14/1948	05/08/1976
Édouard de Reszke Category:Articles with hCards	679	Bass	11/09/1891	04/27/1903
Geraldine Farrar Category:Articles with hCards	672	Soprano	11/26/1906	04/22/1922
Gerhard Pechner Category:Articles with hCards	661	Bass	11/27/1941	12/10/1966
Leonard Warren Category:Articles with hCards	657	Baritone	11/27/1938	03/04/1960
Lucrezia Bori Category:Articles with hCards	654	Soprano	06/09/1910	04/02/1936
Plácido Domingo Category:Articles with hCards	653	Tenor	08/09/1966	01/30/2012
Sherrill Milnes Category:Articles with hCards	653	Baritone	12/22/1965	03/22/1997
Mignon Dunn Category:Articles with hCards	653	Mezzo-soprano	10/29/1958	01/27/1994
Tony Stevenson Category:Articles with hCards	652	Tenor	04/05/1992	05/12/2012
Julien Robbins Category:Articles with hCards	652	Bass	10/29/1979	03/08/2006
Cornell MacNeil Category:Articles with hCards	642	Baritone	03/21/1959	12/05/1987
Pasquale Amato Category:Articles with hCards	633	Baritone	11/20/1908	02/26/1933
Lenora Sparkes Category:Articles with hCards	623	Soprano	11/16/1908	04/18/1926
Otto Goritz Category:Articles with hCards	620	Baritone	12/24/1903	04/07/1917
Pol Plançon Category:Articles with hCards	612	Bass	11/29/1893	04/27/1908
Lawrence Tibbett Category:Articles with hCards	603	Baritone	11/24/1923	03/24/1950
James McCracken Category:Articles with hCards	597	Tenor	11/21/1953	06/17/1986
Margaret Roggero Category:Articles with hCards	595	Mezzo-soprano	11/11/1950	04/08/1963
Morley Meredith Category:Articles with hCards	593	Baritone	01/03/1962	04/18/1992
James Wolfe Category:Articles with hCards	592	Bass	11/07/1923	12/23/1939
Marion Telva Category:Articles with hCards	567	Mezzo-soprano	12/31/1920	02/26/1933
Maxine Stellman Category:Articles with hCards	565	Soprano	05/22/1936	04/08/1950
Lucielle Browning Category:Articles with hCards	558	Mezzo-soprano	05/15/1936	05/11/1951
Mario Sereni Category:Articles with hCards	553	Baritone	11/09/1957	11/10/1984
Norman Cordon Category:Articles with hCards	551	Bass	05/13/1936	05/18/1946
Julius Bayer Category:Articles with hCards	549	Tenor	12/24/1903	04/21/1917
Jane Shaulis Category:Articles with hCards	549	Mezzo-soprano	09/28/1991	05/11/2012
Richard Best Category:Articles with hCards	545	Bass	04/02/1969	06/07/1978
Giuseppe Bonfiglio Category:Articles with hCards	535	Dancer	03/12/1908	03/31/1935
Louis Hasselmans Category:Articles with hCards	534	Conductor	01/20/1922	04/04/1936
Giulio Rossi Category:Articles with hCards	532	Bass	11/16/1908	04/12/1919
Luigi Mancinelli Category:Articles with hCards	531	Conductor	11/27/1893	04/14/1903
Giorgio Tozzi Category:Articles with hCards	528	Bass	03/09/1955	05/21/1975
Ezio Flagello Category:Articles with hCards	528	Bass	11/09/1957	12/17/1984
John Brownlee Category:Articles with hCards	526	Baritone	02/17/1937	03/14/1957
Betsy Norden Category:Articles with hCards	523	Soprano	01/27/1972	01/10/1992
Lauritz Melchior Category:Articles with hCards	519	Tenor	02/17/1926	02/02/1950
Roberta Peters Category:Articles with hCards	514	Soprano	11/17/1950	04/25/1985
Beniamino Gigli Category:Articles with hCards	510	Tenor	11/26/1920	02/08/1939
Peter Sliker Category:Articles with hCards	509	Bass	11/29/1961	12/16/1989
John Darrenkamp Category:Articles with hCards	506	Baritone	09/24/1979	04/21/1995
Isola Jones Category:Articles with hCards	505	Mezzo-soprano	10/15/1977	02/23/1991
Wendy White Category:Articles with hCards	505	Mezzo-soprano	04/09/1978	12/17/2011
Jacques Bars Category:Articles with hCards	502	Tenor	11/18/1896	04/26/1907
Rosina Galli Category:Articles with hCards	496	Dancer	11/19/1914	01/30/1930
Giuseppe Campanari Category:Articles with hCards	496	Baritone	11/30/1894	04/13/1912
Johanna Gadski Category:Articles with hCards	493	Soprano	12/11/1898	04/28/1917
Cesare Siepi Category:Articles with hCards	491	Bass	11/06/1950	04/19/1973
Vincenzo Bellezza Category:Articles with hCards	487	Conductor	03/17/1918	03/29/1935
Erich Leinsdorf Category:Articles with hCards	483	Conductor	01/21/1938	03/05/1983
Robert Blass Category:Articles with hCards	481	Bass	11/13/1900	04/21/1922
Arturo Toscanini Category:Articles with hCards	480	Conductor	11/16/1908	04/14/1915
Roberto Moranzoni Category:Articles with hCards	480	Conductor	11/12/1917	05/03/1924
Andrés de Segurola Category:Articles with hCards	480	Bass	10/10/1901	04/08/1920
Kathleen Howard Category:Articles with hCards	477	Mezzo-soprano	11/14/1916	04/12/1928
Anton Seidl Category:Articles with hCards	473	Conductor	11/25/1885	04/20/1897
Dwayne Croft Category:Articles with hCards	468	Baritone	04/18/1990	05/12/2012
Marcella Sembrich Category:Articles with hCards	466	Soprano	10/24/1883	02/06/1909
Ariel Bybee Category:Articles with hCards	466	Mezzo-soprano	10/31/1977	06/30/1995
Marcia Baldwin Category:Articles with hCards	463	Mezzo-soprano	10/17/1963	02/24/1977
Wilfrid Pelletier Category:Articles with hCards	462	Conductor	02/19/1922	05/15/1950
