Place	Player	Country	Score	To par	Money ( $ )
1	Lucas Glover	United States	69-64-70-73=276	–4	1,350,000
T2	Ricky Barnes	United States	67-65-70-76=278	–2	559,830
T2	David Duval	United States	67-70-70-71=278	–2	559,830
T2	Phil Mickelson	United States	69-70-69-70=278	–2	559,830
5	Ross Fisher	England	70-68-69-72=279	–1	289,146
T6	Søren Hansen	Denmark	70-71-70-69=280	E	233,350
T6	Hunter Mahan	United States	72-68-68-72=280	E	233,350
T6	Tiger Woods	United States	74-69-68-69=280	E	233,350
9	Henrik Stenson	Sweden	73-70-70-68=281	+1	194,794
T10	Stephen Ames	Canada	74-66-70-72=282	+2	154,600
T10	Matt Bettencourt	United States	75-67-71-69=282	+2	154,600
T10	Sergio García	Spain	70-70-72-70=282	+2	154,600
T10	Rory McIlroy	Northern Ireland	72-70-72-68=282	+2	154,600
T10	Ryan Moore	United States	70-69-72-71=282	+2	154,600
T10	Mike Weir	Canada	64-70-74-74=282	+2	154,600
