Rider	Manufacturer	Laps	Time/Retired	Grid
Jorge Lorenzo	Aprilia	23	+40:51.620	1
Alex de Angelis	Aprilia	23	+3.194	5
Andrea Dovizioso	Honda	23	+10.596	7
Thomas Luthi	Aprilia	23	+17.100	4
Álvaro Bautista	Aprilia	23	+20.298	6
Mika Kallio	KTM	23	+20.566	12
Hiroshi Aoyama	KTM	23	+20.615	8
Héctor Barberá	Aprilia	23	+23.584	2
Marco Simoncelli	Gilera	23	+36.703	9
Julián Simón	Honda	23	+36.767	11
Shuhei Aoyama	Honda	23	+39.592	13
Roberto Locatelli	Gilera	23	+48.028	15
Jules Cluzel	Honda	23	+1:07.085	25
Karel Abraham	Aprilia	23	+1:11.868	20
Taro Sekiguchi	Aprilia	23	+1:17.387	18
Alex Debon	Aprilia	23	+1:19.654	3
Ratthapark Wilairot	Honda	23	+1:19.822	22
Alex Baldolini	Aprilia	23	+1:23.243	19
Eugene Laverty	Honda	23	+1:35.553	23
Aleix Espargaró	Aprilia	23	+1:42.529	14
Anthony West	Aprilia	23	+1:55.832	16
Imre Toth	Aprilia	22	+1 Lap	26
Álvaro Molina	Aprilia	22	+1 Lap	24
Yuki Takahashi	Honda	22	Accident	10
Dirk Heidolf	Aprilia	15	Retirement	17
Fabrizio Lai	Aprilia	11	Retirement	21
