Spoofed Title	Actual Title	Writer	Artist	Issue
The Big Bomb Theory	The Big Bang Theory	Desmond Devlin	Tom Richmond	503
Glee-tarded	Glee	Arnie Kogen	Tom Richmond	506
Sad Men	Mad Men	Arnie Kogen	Tom Richmond	508
Undercover Boob	Undercover Boss	Dick DeBartolo	Tom Bunk	508
Muddled Family	Modern Family	Arnie Kogen	Tom Richmond	509
Dancing with the Star Wars	Dancing with the Stars	Dave Croatto	Hermann Mejia	509
Yawn Stars	Pawn Stars	Dick DeBartolo	Tom Bunk	510
Parks and Regurgitation	Parks and Recreation	Arnie Kogen	Tom Richmond	511
The Walking Dud	The Walking Dead	Desmond Devlin	Hermann Mejia	512
Bigg and Bulky	Mike & Molly	Arnie Kogen	Tom Richmond	514
Fading Bad	Breaking Bad	Desmond Devlin	Tom Richmond	516
Storage Bores	Storage Wars	Dick DeBartolo	Tom Bunk	517
Game of Groans	Game of Thrones	Desmond Devlin	Hermann Mejia	521
Ho-Hum Land	Homeland	David Shayne	Tom Richmond	523
