Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	23-11–1	Doo Won Seo	Submission (arm triangle choke)	ROAD FC 11	2	2:24	Seoul , South Korea
Loss	22–11–1	Tatsuya Kawajiri	Submission (arm triangle choke)	DREAM 17	3	2:30	Saitama, Saitama , Japan
Win	22–10–1	Mitsuhiro Ishida	Decision (split)	DREAM: Fight for Japan!	2	5:00	Saitama, Saitama , Japan
Win	21-10–1	Usama Aziz	Submission (armbar)	Super Challenge 6	2	3:47	Stockholm , Sweden
Win	20-10–1	Hideo Tokoro	Submission (triangle choke)	DREAM 16	1	2:48	Nagoya , Japan
Loss	19-10–1	Hiroyuki Takaya	KO (punches)	DREAM 14	1	4:27	Saitama, Saitama , Japan
Loss	19-9–1	Bibiano Fernandes	Decision (split)	DREAM 13	2	5:00	Yokohama , Japan
Loss	19–8–1	Shinya Aoki	Submission (armbar)	DREAM 11	2	4:56	Yokohama , Japan
Win	19–7–1	Shinya Aoki	TKO (punches)	DREAM 5	1	4:19	Osaka , Japan
Win	18–7–1	Kultar Gill	Submission (armbar)	DREAM 5	1	2:33	Osaka , Japan
Loss	17-7–1	Eddie Alvarez	Decision (unanimous)	DREAM 3	2	5:00	Saitama, Saitama , Japan
Win	17–6–1	Kotetsu Boku	Decision (unanimous)	DREAM 1	2	5:00	Saitama, Saitama , Japan
Win	16–6–1	Kazuyuki Miyata	Submission (rear naked choke)	Dynamite!! 2007	2	1:33	Osaka , Japan
Loss	15–6–1	Eiji Mitsuoka	Decision (majority)	Shooto: Back To Our Roots 6	3	5:00	Tokyo, Japan
Win	15–5–1	Jason Ireland	Submission (armbar)	Pride 33	3	2:33	Las Vegas, Nevada , United States
Loss	14–5–1	Shinya Aoki	Submission (gogoplata)	Pride Shockwave 2006	1	2:24	Saitama, Saitama , Japan
Win	14–4–1	Luiz Azeredo	KO (knee)	Pride Bushido 10	1	7:09	Tokyo, Japan
Loss	13-4–1	Tatsuya Kawajiri	DQ (kick to groin)	Shooto: The Victory of the Truth	1	0:08	Tokyo, Japan
Loss	13-3–1	Hayato Sakurai	Decision (unanimous)	Pride Bushido 9	2	5:00	Tokyo, Japan
Win	13-2–1	Yves Edwards	Decision (split)	Pride Bushido 9	2	5:00	Tokyo, Japan
Win	12-2–1	Kenichiro Togashi	Decision (unanimous)	Shooto: Alive Road	3	5:00	Yokohama , Japan
Win	11-2–1	Masakazu Imanari	KO (knee)	Pride Bushido 8	1	2:34	Nagoya , Japan
Win	10–2–1	Caol Uno	KO (knee)	DEEP - 13	3	4:48	Saitama, Saitama , Japan
Win	9-2–1	Sergey Golyaev	Submission (rear naked choke)	Euphoria – Road to the Titles	1	3:24	Atlantic City, New Jersey , United States
Win	8-2–1	Gesias Cavalcante	Decision (majority)	Shooto 2004: 7/16	3	5:00	Tokyo, Japan
Win	7-2–1	Metin Yakut	TKO (punches)	Shooto Finland: Capital Punishment 2	2	3:50	Helsinki , Finland
Loss	6-2–1	Vitor Ribeiro	Submission (arm triangle choke)	Shooto 2003: Year End Show	2	2:37	Chiba, Chiba , Japan
Win	6-1–1	Takanori Gomi	Decision (majority)	Shooto 2003: 8/10	3	5:00	Yokohama , Japan
Win	5-1–1	Rumina Sato	TKO (punches)	Shooto 2003: 3/18	1	2:09	Tokyo, Japan
Win	4-1–1	Takumi Nakayama	Decision (majority)	Shooto 2002: Year-End Show	3	5:00	Chiba, Chiba , Japan
Win	3-1–1	Sami Hyyppa	Submission	Shooto Finland: The First Time	1	4:00	Turku , Finland
Draw	2-1–1	Rafles la Rose	Draw	CW 3	2	5:00	Galway , Ireland
Win	2–1	Olof Inger	Decision	Fire Fight 5	N/A	N/A	Turku , Finland
Loss	1-1	Jani Lax	Submission (rear naked choke)	Fire Fight 4	1	9:25	Turku , Finland
Win	1–0	Marcus Peltonen	TKO	Fire Fight 3	1	1:38	Turku , Finland
