Name	Nationality	Position	São Paulo career	Appearances	Goals
Friedenreich	Brazil	FW	1930–1935	125	103
Luizinho	Brazil	FW	1930–1935 1941–1947	264	173
Araken Patusca	Brazil	FW	1931–1935 1938–1939	124	67
Waldemar de Brito	Brazil	FW	1933–1935 1941–1943	79	84
King	Brazil	GK	1936–1947	204	0
Teixeirinha	Brazil	FW	1939–1956 ¤	525	189
Remo	Brazil	MF	1940–1951	348	107
Pardal	Brazil	MF	1941–1948	114	58
Piolin	Brazil	DF	1942–1946	145	0
Leônidas da Silva	Brazil	FW	1942–1951	211	144
Noronha	Brazil	DF	1942–1951	298	13
Antonio Sastre Category:Articles with hCards	Argentina	MF	1943–1946	128	56
Rui	Brazil	DF	1944–1953	273	6
Bauer	Brazil	MF	1944–1957 ¤	400	18
Armando Renganeschi Category:Articles with hCards	Argentina	DF	1945–1948	107	1
Mauro	Brazil	DF	1948–1960	498	2
Friaça	Brazil	MF	1949–1951	66	48
José Poy Category:Articles with hCards	Argentina	GK	1949–1962	522	0
Alfredo Ramos	Brazil	DF	1950–1957	322	1
Pé de Valsa	Brazil	MF	1951–1956	237	10
Turcão	Brazil	DF	1951–1956	224	35
Gustavo Albella Category:Articles with hCards	Argentina	MF	1952–1954	80	46
Maurinho	Brazil	FW	1952–1959	347	136
De Sordi	Brazil	DF	1952–1965	544	0
Gino	Brazil	FW	1953–1963	453	233
Dino Sani	Brazil	MF	1954–1961	325	113
Vítor	Brazil	MF	1954–1961	382	7
Canhoteiro	Brazil	FW	1954–1963	413	105
Riberto	Brazil	MF	1956–1964	481	19
Zizinho	Brazil	MF	1957–1959	67	27
Gonçalo	Brazil	MF	1960–1964	94	16
Roberto Dias	Brazil	DF	1960–1973 ¤	527	78
Benê	Brazil	MF	1961–1970	264	77
Prado	Brazil	FW	1961–1967	244	121
Suly	Brazil	GK	1961–1966	266	0
Bellini	Brazil	DF	1962–1968	214	1
Jurandir	Brazil	DF	1962–1972	419	0
Zé Roberto	Brazil	FW	1964–1966 1969–1976 ¤	170	49
Paraná	Brazil	FW	1965–1973	395	41
Tenente	Brazil	DF	1965–1972	181	3
Sérgio	Brazil	GK	1966–1975	199	0
Babá	Brazil	FW	1966–1970	216	94
Terto	Brazil	FW	1968–1977	500	85
Arlindo	Brazil	DF	1968–1969 1971–1977	406	4
Gérson	Brazil	MF	1969–1971	75	11
Toninho Guerreiro	Brazil	FW	1969–1974	171	86
Gilberto Sorriso	Brazil	DF	1970–1977 ¤	434	7
Pablo Forlán Category:Articles with hCards	Uruguay	DF	1970–1975	243	9
Pedro Rocha	Uruguay	MF	1970–1979	393	119
Paulo Nani	Brazil	FW	1970–1974 ¤	139	8
Nélson	Brazil	DF	1971–1977	262	6
Teodoro	Brazil	MF	1971–1980 1982	303	13
Zé Carlos	Brazil	MF	1972–1977	261	28
Chicão	Brazil	MF	1973–1979	317	19
Waldir Peres	Brazil	GK	1973–1984	617	0
Muricy	Brazil	MF	1973–1979 ¤	177	26
Paranhos	Brazil	DF	1973–1977	233	0
Piau	Brazil	FW	1973–1977	156	9
Serginho Chulapa	Brazil	FW	1974–1983	399	242
Zé Sérgio	Brazil	FW	1976–1984 ¤	354	48
Getúlio	Brazil	DF	1977–1984	322	34
Darío Pereyra	Uruguay	DF	1977–1988	453	37
Estevam	Brazil	DF	1977–1979	105	1
Neca	Brazil	MF	1977–1979	103	27
Edu Bala	Brazil	MF	1978–1980	148	14
Renato	Brazil	MF	1980–1984	299	102
Oscar	Brazil	DF	1980–1987	294	13
