#	Sanskrit	Malayalam name മലയാളം	Tamil name தமிழ்	Telugu name తెలుగు	Kannada name ಕನ್ನಡ	Western star name
1	Aśvinī अश्विनी	Ashvati അശ്വതി	Aswini அஸ்வினி	Aśvinī అశ్విని	Aśvinī ಅಶ್ವಿನಿ	β and γ Arietis
2	Bharaṇī भरणी	Bharaṇi ഭരണി	Baraṇi பரணி	Bharaṇi భరణి	Bharaṇi ಭರಣಿ	35 , 39 , and 41 Arietis
3	Kṛttikā कृत्तिका	Kārttika കാർത്തിക	Kārthikai கார்த்திகை	Kṛttika కృత్తిక	Kruthike ಕೃತಿಕೆ	Pleiades
4	Rohiṇī रोहिणी	Rōhiṇi രോഹിണി	Rōhiṇi ரோகிணி	Rōhiṇi రోహిణి	Rōhiṇi ರೋಹಿಣಿ	Aldebaran
5	Mṛgaśiras म्रृगशीर्षा	Makayiram മകയിരം	Mirugasīridam மிருகசீரிடம்	Mṛgaśira మృగశిర	Mṛgaśira ಮೃಗಶಿರ	λ , φ Orionis
6	Ārdrā आद्रा	Ātira or Tiruvātira ആതിര (തിരുവാതിര)	Thiruvādhirai திருவாதிரை	Arudra ఆరుద్ర	Aridra ಆರಿದ್ರ	Betelgeuse
7	Punarvasu पुनर्वसु	Puṇartam പുണർതം	Punarpoosam புனர்பூசம்	Punarvasu పునర్వసు	Punarvasu ಪುನರ್ವಸು	Castor and Pollux
8	Puṣya पुष्य	Pūyam പൂയം	Poosam பூசம்	Puṣyami పుష్యమి	Puṣya ಪುಷ್ಯ	γ , δ and θ Cancri
9	Aśleṣā आश्ळेषा / आश्लेषा	Āyilyam ആയില്യം	Ayilyam ஆயில்யம்	Aśleṣa ఆశ్లేష	Aśleṣa ಆಶ್ಲೇಷ	δ, ε, η, ρ, and σ Hydrae
10	Maghā मघा	Makam മകം	Magam மகம்	Makha or Magha మఖ or మాఘ	Makha ಮಖ	Regulus
11	Pūrva or Pūrva Phalguṇī पूर्व फाल्गुनी	Pūram പൂരം	Pooram பூரம்	Pūrva Phalguṇī or Pubba పూర్వా ఫల్గుణి or పుబ్బ	Pubba ಪುಬ್ಬ	δ and θ Leonis
12	Uttara or Uttara Phalguṇī उत्तर फाल्गुनी	Utram ഉത്രം	Uthiram உத்திரம்	Uttara Phalguṇi or Uttara ఉత్తర ఫల్గుణి or ఉత్తర	Utthara ಉತ್ತರ	Denebola
13	Hasta हस्त	Attam അത്തം	Astham அஸ்தம்	Hasta హస్త	Hasta ಹಸ್ತ	α , β , γ , δ and ε Corvi
14	Citrā चित्रा	Chittira (Chitra) ചിത്തിര (ചിത്ര)	Chithirai சித்திரை	Cittā or Citrā చిత్తా or చిత్రా	Citta ಚಿತ್ತ	Spica
15	Svāti स्वाति	Chōti ചോതി	Swathi சுவாதி	Svāti స్వాతి	Svāti ಸ್ವಾತಿ	Arcturus
16	Viśākha विशाखा	Vishākham വിശാഖം	Visakam விசாகம்	Viśākha విశాఖ	Viśākhe ವಿಶಾಖೆ	α , β , γ and ι Librae
17	Anurādhā अनुराधा	Anizham അനിഴം	Anusham அனுஷம்	Anurādhā అనూరాధ	Anurādhā ಅನುರಾಧ	β , δ and π Scorpionis
18	Jyeṣṭha ज्येष्ठा	Kēṭṭa (Trikkēṭṭa) കേട്ട (തൃക്കേട്ട)	Kettai கேட்டை	Jyeṣṭha జ్యేష్ఠ	Jyeṣṭha ಜ್ಯೇಷ್ಠ	α , σ , and τ Scorpionis
19	Mūla मूल/मूळ	Mūlam മൂലം	Mūlam மூலம்	Mūla మూల	Mūla ಮೂಲ	ε , ζ, η , θ , ι, κ , λ , μ and ν Scorpionis
20	Pūrvāṣāḍha पूर्वाषाढा	Pūrāṭam പൂരാടം	Pūradam பூராடம்	Pūrvāṣāḍha పూర్వాషాఢ	Pūrvāṣāḍha ಪೂರ್ವಾಷಾಢ	δ and ε Sagittarii
21	Uttarāṣāḍha उत्तराषाढा	Utrāṭam ഉത്രാടം	Uthirādam உத்திராடம்	Uttarāṣāḍha ఉత్తరాషాఢ	Uttarāṣāḍha ಉತ್ತರಾಷಾಢ	ζ and σ Sagittarii
22	Śravaṇa श्रवण	Tiruvōnam ഓണം (തിരുവോണം)	Tiruvōnam திருவோணம்	Śravaṇaṁ శ్రవణం	Śravaṇa ಶ್ರವಣ	α , β and γ Aquilae
23	Śraviṣṭhā or Dhaniṣṭha श्रविष्ठा or धनिष्ठा	Aviṭṭam അവിട്ടം	Aviṭṭam அவிட்டம்	Dhaniṣṭha ధనిష్ఠ	Dhaniṣṭha ಧನಿಷ್ಠ	α to δ Delphinus
24	Śatabhiṣak or Śatatārakā शतभिषक् / शततारका	Chatayam ചതയം	Sadayam சதயம்	Śatabhiṣaṁ శతభిషం	Śatabhiṣa ಶತಭಿಷ	γ Aquarii
25	Pūrva Bhādrapadā पूर्वभाद्रपदा / पूर्वप्रोष्ठपदा	Pūruruṭṭāti പൂരുരുട്ടാതി	Pūraṭṭādhi பூரட்டாதி	Pūrvābhādra పూర్వాభాద్ర	Pūrvābhādra ಪೂರ್ವಾ ಭಾದ್ರ	α and β Pegasi
26	Uttara Bhādrapadā उत्तरभाद्रपदा / उत्तरप्रोष्ठपदा	Uttṛṭṭāti ഉത്രട്ടാതി	Uttṛṭṭādhi உத்திரட்டாதி	Uttarābhādra ఉత్తరాభాద్ర	Uttarābhādra ಉತ್ತರಾ ಭಾದ್ರ	γ Pegasi and α Andromedae
