No(s). in series	No(s). in season	Title	Directed by	Written by	Original air date	Production code(s)	U.S. viewers (millions)
148	2	"The One with Rachel's Book"	Michael Lembeck	Andrew Reich & Ted Cohen	October12,2000	226402	27.9
149	3	"The One with Phoebe's Cookies"	Gary Halvorson	Sherry Bilsing & Ellen Plummer	October19,2000	226405	22.7
150	4	"The One with Rachel's Assistant"	David Schwimmer	Brian Boyle	October26,2000	226403	22.6
151	5	"The One with the Engagement Picture"	Gary Halvorson	Story: Earl Davis Teleplay: Patty Lin	November2,2000	226404	24.4
152	6	"The One with the Nap Partners"	Gary Halvorson	Brian Buckner & Sebastian Jones	November9,2000	226406	22.0
153	7	"The One with Ross's Library Book"	David Schwimmer	Scott Silveri	November16,2000	226410	23.7
154	8	"The One Where Chandler Doesn't Like Dogs"	Kevin S. Bright	Patty Lin	November23,2000	226407	16.5
155	9	"The One with All the Candy"	David Schwimmer	Will Calhoun	December7,2000	226408	21.0
156	10	"The One with the Holiday Armadillo"	Gary Halvorson	Gregory S. Malins	December14,2000	226409	23.2
157	11	"The One with All the Cheesecakes"	Gary Halvorson	Shana Goldberg-Meehan	January4,2001	226412	24.3
158	12	"The One Where They're Up All Night"	Kevin S. Bright	Zachary Rosenblatt	January11,2001	226413	22.8
165	19	"The One with Ross and Monica's Cousin"	Gary Halvorson	Andrew Reich & Ted Cohen	April19,2001	226421	16.5
166	20	"The One with Rachel's Big Kiss"	Gary Halvorson	Scott Silveri & Shana Goldberg-Meehan	April26,2001	226419	16.3
