Rk	Team	Home Gms.	Home Att.	Avg. Home	Away Gms.	Away Att.	Avg. Away	Neut. Gms.	Neut. Att.	Avg. Neut.	Total Gms.	Total Att.	Avg.
1	Syracuse	19	423924	22312	9	145534	16170	3	30,935	10,312	31	600393	19,368
2	Louisville	21	458463	21832	10	100117	10012	0	0	0	31	558580	18,019
3	Marquette	18	280545	15586	11	116060	10551	2	n/a	n/a	31	396605	13,676*
4	West Virginia	14	160567	11469	11	146510	13319	5	50,467	10,093	30	357544	11,918
5	Georgetown	14	177448	12675	12	150068	12506	4	23,403	5,851	30	350919	11,697
6	Pittsburgh	18	195182	10843	9	103829	11537	4	51,959	12,990	31	350970	11,322
7	Connecticut	17	196671	11569	10	132723	13272	3	7,200	2,400	30	336594	11,220
8	Villanova	17	178692	10511	12	117343	9779	2	13,974	6,987	31	310009	10,000
9	Seton Hall	15	119060	7937	11	123899	11264	4	3,365	3,365**	31	246324	9,123**
10	St. John's	15	126466	8431	12	121573	10131	3	15,270	5,090	30	263309	8,777
11	Notre Dame	17	132350	7785	9	111886	12432	4	9,333	3,111†	30	253569	8,743†
12	DePaul	17	130486	7676	10	116571	11657	3	4,995	2,498‡	30	252052	8,691‡
13	Cincinnati	18	132194	7344	12	122472	10206	1	6,016	6,016	31	260682	8,409
14	Providence	19	133815	7043	10	122776	12278	2	745	372	31	257336	8,301
15	Rutgers	16	89636	5602	11	100118	9102	3	29,786	9,929	30	219540	7,318
16	South Florida	16	67674	4230	13	88381	6799	2	1,100	1,100§	31	157155	5,239§
