Game	December	Opponent	Score	Record	Points
27	3	Boston Bruins	6–1	17–6–4	38
28	5	@ Detroit Red Wings	3–5	17–7–4	38
29	7	Buffalo Sabres	7–3	18–7–4	40
30	10	New York Islanders	2–6	18–8–4	40
31	14	Tampa Bay Lightning	4–0	19–8–4	42
32	16	@ Montreal Canadiens	4–2	20–8–4	44
33	17	Pittsburgh Penguins	6–5	21–8–4	46
34	19	@ New Jersey Devils	4–5 OT	21–9–4	46
35	21	New York Rangers	1–2	21–10–4	46
36	23	@ Hartford Whalers	3–3 OT	21–10–5	47
37	27	@ Edmonton Oilers	2–3	21–11–5	47
38	29	@ Calgary Flames	3–2	22–11–5	49
39	31	@ Vancouver Canucks	5–5 OT	22–11–6	50
